Species,Bag_Color,Tank,MHW,SH_Tide,SH_Temp,Rep,WeighBoat,Weigh_Boat_g...9,Weigh_Boat_g...10,B_S_T_g,B_T_g,Tissue.g,Shell.g,CI,DEAD,Notes
Crassostrea sikamea,Red,1,15˚C,Tide,15˚C,1,M1,1.9129,NA,3.4112,1.9128,NA,NA,NA,DEAD,NA
Crassostrea sikamea,Red,1,15˚C,Tide,15˚C,2,M2,1.9132,NA,3.6539,1.9153,NA,NA,NA,DEAD,NA
Crassostrea sikamea,Red,1,15˚C,Tide,15˚C,3,M3,1.9071,NA,4.045,1.997,NA,NA,NA,DEAD,NA
Crassostrea sikamea,Red,1,15˚C,Tide,15˚C,5,M5,1.8983,NA,3.941,1.9784,NA,NA,NA,DEAD,NA
Crassostrea sikamea,Red,2,15˚C,No Tide,15˚C,6,C6,1.9628,NA,NA,NA,NA,NA,NA,DEAD,NA
Crassostrea sikamea,Red,3,15˚C,Tide,21˚C,7,O-7,1.9171,NA,4.0924,1.9231,NA,NA,NA,DEAD,NA
Crassostrea sikamea,Red,4,15˚C,Tide,15˚C,1,V1,1.9239,NA,4.3112,1.9247,NA,NA,NA,DEAD,NA
Crassostrea sikamea,Red,4,15˚C,Tide,15˚C,2,V2,1.9472,NA,4.0404,1.9505,NA,NA,NA,DEAD,NA
Crassostrea sikamea,Red,5,15˚C,No Tide,15˚C,4,F4,1.9522,NA,3.6078,1.9551,NA,NA,NA,DEAD,NA
Crassostrea sikamea,Red,5,15˚C,No Tide,21˚C,3,G3,1.9884,NA,4.1045,1.9884,NA,NA,NA,DEAD,NA
Crassostrea sikamea,Red,5,15˚C,No Tide,21˚C,10,G10,1.9706,NA,3.4303,1.9704,NA,NA,NA,DEAD,NA
Crassostrea sikamea,Red,6,18˚C,No Tide,15˚C,3,N3,1.9199,NA,3.7228,1.9216,NA,NA,NA,DEAD,NA
Crassostrea sikamea,Red,6,18˚C,Tide,15˚C,2,L2,1.9237,NA,4.0903,1.9216,NA,NA,NA,DEAD,NA
Crassostrea sikamea,Red,6,18˚C,Tide,21˚C,6,M6,1.9165,NA,4.2645,1.919,NA,NA,NA,DEAD,NA
Crassostrea sikamea,Red,7,18˚C,No Tide,15˚C,1,V1,1.925,NA,3.5703,1.9265,NA,NA,NA,DEAD,NA
Crassostrea sikamea,Red,7,18˚C,Tide,21˚C,2,U2,1.943,NA,3.6355,1.9432,NA,NA,NA,DEAD,NA
Crassostrea sikamea,Red,8,18˚C,No Tide,15˚C,3,D3,1.9612,NA,3.5522,1.9789,NA,NA,NA,DEAD,NA
Crassostrea sikamea,Red,8,18˚C,Tide,21˚C,7,C7,1.9603,NA,3.8413,NA,NA,NA,NA,DEAD,NA
Crassostrea sikamea,Red,9,18˚C,Tide,15˚C,2,J2,1.9377,NA,3.4437,1.9381,NA,NA,NA,DEAD,NA
Crassostrea sikamea,Red,10,18˚C,No Tide,15˚C,1,T1,1.9793,NA,4.1529,2.0343,NA,NA,NA,DEAD,NA
Crassostrea sikamea,Red,10,18˚C,No Tide,15˚C,2,T2,1.9733,NA,4.3655,2.0842,NA,NA,NA,DEAD,NA
Crassostrea sikamea,Red,10,18˚C,No Tide,21˚C,7,U7,1.9641,NA,3.4641,1.9641,NA,NA,NA,DEAD,NA
