Species,Day,Date,Rep,L_W,MHW,Tank,Size_cm
Crassostrea sikamea,1,,1,L,15,1,2.7499
Crassostrea sikamea,1,,1,W,15,1,1.7036
Crassostrea sikamea,1,,2,L,15,1,2.2568
Crassostrea sikamea,1,,2,W,15,1,1.5505
Crassostrea sikamea,1,,3,L,15,1,3.0524
Crassostrea sikamea,1,,3,W,15,1,1.9565
Crassostrea sikamea,1,,4,L,15,1,2.8205
Crassostrea sikamea,1,,4,W,15,1,2.0658
Crassostrea sikamea,1,,5,L,15,1,2.9658
Crassostrea sikamea,1,,5,W,15,1,1.9224
Crassostrea sikamea,1,,1,L,15,2,3.0353
Crassostrea sikamea,1,,1,W,15,2,2.0213
Crassostrea sikamea,1,,2,L,15,2,3.0643
Crassostrea sikamea,1,,2,W,15,2,2.1224
Crassostrea sikamea,1,,3,L,15,2,2.5199
Crassostrea sikamea,1,,3,W,15,2,2.0077
Crassostrea sikamea,1,,4,L,15,2,2.3487
Crassostrea sikamea,1,,4,W,15,2,1.727
Crassostrea sikamea,1,,5,L,15,2,2.7729
Crassostrea sikamea,1,,5,W,15,2,1.9717
Crassostrea sikamea,1,,1,L,15,3,2.886
Crassostrea sikamea,1,,1,W,15,3,2.074
Crassostrea sikamea,1,,2,L,15,3,2.772
Crassostrea sikamea,1,,2,W,15,3,1.979
Crassostrea sikamea,1,,3,L,15,3,2.918
Crassostrea sikamea,1,,3,W,15,3,2.062
Crassostrea sikamea,1,,4,L,15,3,2.842
Crassostrea sikamea,1,,4,W,15,3,1.91
Crassostrea sikamea,1,,5,L,15,3,2.807
Crassostrea sikamea,1,,5,W,15,3,2.24
Crassostrea sikamea,1,,1,L,15,4,2.885
Crassostrea sikamea,1,,1,W,15,4,2.044
Crassostrea sikamea,1,,2,L,15,4,2.602
Crassostrea sikamea,1,,2,W,15,4,1.943
Crassostrea sikamea,1,,3,L,15,4,3.559
Crassostrea sikamea,1,,3,W,15,4,1.998
Crassostrea sikamea,1,,4,L,15,4,2.524
Crassostrea sikamea,1,,4,W,15,4,1.561
Crassostrea sikamea,1,,5,L,15,4,2.864
Crassostrea sikamea,1,,5,W,15,4,1.958
Crassostrea sikamea,1,,1,L,15,5,2.991
Crassostrea sikamea,1,,1,W,15,5,1.94
Crassostrea sikamea,1,,2,L,15,5,2.93
