Species,Day,Date,Rep,L_W,SH_Tide,SH_Temp,MHW,Tank,Size_cm
Crassostrea sikamea,19,,1,L,Tide,15,15,1,2.52
Crassostrea sikamea,19,,1,W,Tide,15,15,1,1.865
Crassostrea sikamea,19,,2,L,Tide,15,15,1,2.547
Crassostrea sikamea,19,,2,W,Tide,15,15,1,1.529
Crassostrea sikamea,19,,3,L,Tide,15,15,1,2.027
Crassostrea sikamea,19,,3,W,Tide,15,15,1,1.444
Crassostrea sikamea,19,,4,L,Tide,15,15,1,2.707
Crassostrea sikamea,19,,4,W,Tide,15,15,1,2.016
Crassostrea sikamea,19,,5,L,Tide,15,15,1,2.457
Crassostrea sikamea,19,,5,W,Tide,15,15,1,1.493
Crassostrea sikamea,19,,6,L,Tide,15,15,1,2.413
Crassostrea sikamea,19,,6,W,Tide,15,15,1,1.873
Crassostrea sikamea,19,,7,L,Tide,15,15,1,2.504
Crassostrea sikamea,19,,7,W,Tide,15,15,1,2.218
Crassostrea sikamea,19,,8,L,Tide,15,15,1,2.918
Crassostrea sikamea,19,,8,W,Tide,15,15,1,1.793
Crassostrea sikamea,19,,9,L,Tide,15,15,1,2.234
Crassostrea sikamea,19,,9,W,Tide,15,15,1,1.655
Crassostrea sikamea,19,,10,L,Tide,15,15,1,NA
Crassostrea sikamea,19,,10,W,Tide,15,15,1,NA
Crassostrea sikamea,19,,1,L,Tide,21,15,1,2.952
Crassostrea sikamea,19,,1,W,Tide,21,15,1,1.795
Crassostrea sikamea,19,,2,L,Tide,21,15,1,3.115
Crassostrea sikamea,19,,2,W,Tide,21,15,1,1.885
Crassostrea sikamea,19,,3,L,Tide,21,15,1,2.805
Crassostrea sikamea,19,,3,W,Tide,21,15,1,1.878
Crassostrea sikamea,19,,4,L,Tide,21,15,1,2.977
Crassostrea sikamea,19,,4,W,Tide,21,15,1,2.071
Crassostrea sikamea,19,,5,L,Tide,21,15,1,2.635
Crassostrea sikamea,19,,5,W,Tide,21,15,1,1.785
Crassostrea sikamea,19,,6,L,Tide,21,15,1,2.256
Crassostrea sikamea,19,,6,W,Tide,21,15,1,1.684
Crassostrea sikamea,19,,7,L,Tide,21,15,1,3.045
Crassostrea sikamea,19,,7,W,Tide,21,15,1,2.203
Crassostrea sikamea,19,,8,L,Tide,21,15,1,2.5
Crassostrea sikamea,19,,8,W,Tide,21,15,1,1.839
Crassostrea sikamea,19,,9,L,Tide,21,15,1,NA
Crassostrea sikamea,19,,9,W,Tide,21,15,1,NA
Crassostrea sikamea,19,,10,L,Tide,21,15,1,NA
Crassostrea sikamea,19,,10,W,Tide,21,15,1,NA
Crassostrea sikamea,19,,1,L,No Tide,15,15,1,2.663
Crassostrea sikamea,19,,1,W,No Tide,15,15,1,1.864
Crassostrea sikamea,19,,2,L,No Tide,15,15,1,2.601
Crassostrea sikamea,19,,2,W,No Tide,15,15,1,1.977
Crassostrea sikamea,19,,3,L,No Tide,15,15,1,2.782
Crassostrea sikamea,19,,3,W,No Tide,15,15,1,1.896
Crassostrea sikamea,19,,4,L,No Tide,15,15,1,2.739
Crassostrea sikamea,19,,4,W,No Tide,15,15,1,1.671
Crassostrea sikamea,19,,5,L,No Tide,15,15,1,2.566
Crassostrea sikamea,19,,5,W,No Tide,15,15,1,1.837
Crassostrea sikamea,19,,6,L,No Tide,15,15,1,2.48
Crassostrea sikamea,19,,6,W,No Tide,15,15,1,1.997
Crassostrea sikamea,19,,7,L,No Tide,15,15,1,2.571
Crassostrea sikamea,19,,7,W,No Tide,15,15,1,1.866
Crassostrea sikamea,19,,8,L,No Tide,15,15,1,2.381
Crassostrea sikamea,19,,8,W,No Tide,15,15,1,1.78
Crassostrea sikamea,19,,9,L,No Tide,15,15,1,2.708
Crassostrea sikamea,19,,9,W,No Tide,15,15,1,1.754
Crassostrea sikamea,19,,10,L,No Tide,15,15,1,2.564
Crassostrea sikamea,19,,10,W,No Tide,15,15,1,1.948
Crassostrea sikamea,19,,1,L,No Tide,21,15,1,3.038
Crassostrea sikamea,19,,1,W,No Tide,21,15,1,1.77
Crassostrea sikamea,19,,2,L,No Tide,21,15,1,2.766
Crassostrea sikamea,19,,2,W,No Tide,21,15,1,1.669
Crassostrea sikamea,19,,3,L,No Tide,21,15,1,2.548
Crassostrea sikamea,19,,3,W,No Tide,21,15,1,1.706
Crassostrea sikamea,19,,4,L,No Tide,21,15,1,2.972
Crassostrea sikamea,19,,4,W,No Tide,21,15,1,1.998
Crassostrea sikamea,19,,5,L,No Tide,21,15,1,3.049
Crassostrea sikamea,19,,5,W,No Tide,21,15,1,1.714
Crassostrea sikamea,19,,6,L,No Tide,21,15,1,2.608
Crassostrea sikamea,19,,6,W,No Tide,21,15,1,1.829
Crassostrea sikamea,19,,7,L,No Tide,21,15,1,2.581
Crassostrea sikamea,19,,7,W,No Tide,21,15,1,1.919
Crassostrea sikamea,19,,8,L,No Tide,21,15,1,3.036
Crassostrea sikamea,19,,8,W,No Tide,21,15,1,2.178
Crassostrea sikamea,19,,9,L,No Tide,21,15,1,2.595
Crassostrea sikamea,19,,9,W,No Tide,21,15,1,1.802
Crassostrea sikamea,19,,10,L,No Tide,21,15,1,2.789
Crassostrea sikamea,19,,10,W,No Tide,21,15,1,1.983
Crassostrea sikamea,19,,1,L,Tide,15,15,2,2.584
Crassostrea sikamea,19,,1,W,Tide,15,15,2,2.099
Crassostrea sikamea,19,,2,L,Tide,15,15,2,2.998
Crassostrea sikamea,19,,2,W,Tide,15,15,2,2.263
Crassostrea sikamea,19,,3,L,Tide,15,15,2,3.049
Crassostrea sikamea,19,,3,W,Tide,15,15,2,2.1
Crassostrea sikamea,19,,4,L,Tide,15,15,2,3.157
Crassostrea sikamea,19,,4,W,Tide,15,15,2,2.168
Crassostrea sikamea,19,,5,L,Tide,15,15,2,2.876
Crassostrea sikamea,19,,5,W,Tide,15,15,2,1.865
Crassostrea sikamea,19,,6,L,Tide,15,15,2,2.99
Crassostrea sikamea,19,,6,W,Tide,15,15,2,2.067
Crassostrea sikamea,19,,7,L,Tide,15,15,2,2.915
Crassostrea sikamea,19,,7,W,Tide,15,15,2,1.756
Crassostrea sikamea,19,,8,L,Tide,15,15,2,2.691
Crassostrea sikamea,19,,8,W,Tide,15,15,2,2.032
Crassostrea sikamea,19,,9,L,Tide,15,15,2,2.419
Crassostrea sikamea,19,,9,W,Tide,15,15,2,1.56
Crassostrea sikamea,19,,10,L,Tide,15,15,2,2.665
Crassostrea sikamea,19,,10,W,Tide,15,15,2,1.738
Crassostrea sikamea,19,,1,L,Tide,21,15,2,3.104
Crassostrea sikamea,19,,1,W,Tide,21,15,2,1.983
Crassostrea sikamea,19,,2,L,Tide,21,15,2,2.55
Crassostrea sikamea,19,,2,W,Tide,21,15,2,1.143
Crassostrea sikamea,19,,3,L,Tide,21,15,2,2.669
Crassostrea sikamea,19,,3,W,Tide,21,15,2,1.767
Crassostrea sikamea,19,,4,L,Tide,21,15,2,2.485
Crassostrea sikamea,19,,4,W,Tide,21,15,2,1.792
Crassostrea sikamea,19,,5,L,Tide,21,15,2,2.807
Crassostrea sikamea,19,,5,W,Tide,21,15,2,2.066
Crassostrea sikamea,19,,6,L,Tide,21,15,2,2.45
Crassostrea sikamea,19,,6,W,Tide,21,15,2,2.048
Crassostrea sikamea,19,,7,L,Tide,21,15,2,2.613
Crassostrea sikamea,19,,7,W,Tide,21,15,2,1.985
Crassostrea sikamea,19,,8,L,Tide,21,15,2,2.877
Crassostrea sikamea,19,,8,W,Tide,21,15,2,1.857
Crassostrea sikamea,19,,9,L,Tide,21,15,2,2.683
Crassostrea sikamea,19,,9,W,Tide,21,15,2,1.837
Crassostrea sikamea,19,,10,L,Tide,21,15,2,2.729
Crassostrea sikamea,19,,10,W,Tide,21,15,2,2.009
Crassostrea sikamea,19,,1,L,No Tide,15,15,2,2.664
Crassostrea sikamea,19,,1,W,No Tide,15,15,2,1.846
Crassostrea sikamea,19,,2,L,No Tide,15,15,2,2.387
Crassostrea sikamea,19,,2,W,No Tide,15,15,2,1.596
Crassostrea sikamea,19,,3,L,No Tide,15,15,2,2.491
Crassostrea sikamea,19,,3,W,No Tide,15,15,2,1.941
Crassostrea sikamea,19,,4,L,No Tide,15,15,2,2.44
Crassostrea sikamea,19,,4,W,No Tide,15,15,2,1.869
Crassostrea sikamea,19,,5,L,No Tide,15,15,2,2.449
Crassostrea sikamea,19,,5,W,No Tide,15,15,2,1.693
Crassostrea sikamea,19,,6,L,No Tide,15,15,2,2.438
Crassostrea sikamea,19,,6,W,No Tide,15,15,2,2.088
Crassostrea sikamea,19,,7,L,No Tide,15,15,2,2.599
Crassostrea sikamea,19,,7,W,No Tide,15,15,2,2.217
Crassostrea sikamea,19,,8,L,No Tide,15,15,2,3.203
Crassostrea sikamea,19,,8,W,No Tide,15,15,2,2.081
Crassostrea sikamea,19,,9,L,No Tide,15,15,2,2.477
Crassostrea sikamea,19,,9,W,No Tide,15,15,2,1.779
Crassostrea sikamea,19,,10,L,No Tide,15,15,2,2.546
Crassostrea sikamea,19,,10,W,No Tide,15,15,2,2.099
Crassostrea sikamea,19,,1,L,No Tide,21,15,2,2.863
Crassostrea sikamea,19,,1,W,No Tide,21,15,2,1.862
Crassostrea sikamea,19,,2,L,No Tide,21,15,2,2.312
Crassostrea sikamea,19,,2,W,No Tide,21,15,2,1.816
Crassostrea sikamea,19,,3,L,No Tide,21,15,2,2.456
Crassostrea sikamea,19,,3,W,No Tide,21,15,2,2.013
Crassostrea sikamea,19,,4,L,No Tide,21,15,2,3.025
Crassostrea sikamea,19,,4,W,No Tide,21,15,2,2.214
Crassostrea sikamea,19,,5,L,No Tide,21,15,2,2.367
Crassostrea sikamea,19,,5,W,No Tide,21,15,2,1.792
Crassostrea sikamea,19,,6,L,No Tide,21,15,2,2.119
Crassostrea sikamea,19,,6,W,No Tide,21,15,2,1.825
Crassostrea sikamea,19,,7,L,No Tide,21,15,2,2.951
Crassostrea sikamea,19,,7,W,No Tide,21,15,2,2.163
Crassostrea sikamea,19,,8,L,No Tide,21,15,2,2.633
Crassostrea sikamea,19,,8,W,No Tide,21,15,2,1.891
Crassostrea sikamea,19,,9,L,No Tide,21,15,2,3.136
Crassostrea sikamea,19,,9,W,No Tide,21,15,2,1.874
Crassostrea sikamea,19,,10,L,No Tide,21,15,2,NA
Crassostrea sikamea,19,,10,W,No Tide,21,15,2,NA
Crassostrea sikamea,19,,1,L,Tide,15,15,3,3.451
Crassostrea sikamea,19,,1,W,Tide,15,15,3,1.974
Crassostrea sikamea,19,,2,L,Tide,15,15,3,2.911
Crassostrea sikamea,19,,2,W,Tide,15,15,3,1.935
Crassostrea sikamea,19,,3,L,Tide,15,15,3,2.714
Crassostrea sikamea,19,,3,W,Tide,15,15,3,1.751
Crassostrea sikamea,19,,4,L,Tide,15,15,3,2.582
Crassostrea sikamea,19,,4,W,Tide,15,15,3,1.778
Crassostrea sikamea,19,,5,L,Tide,15,15,3,3.316
Crassostrea sikamea,19,,5,W,Tide,15,15,3,1.993
Crassostrea sikamea,19,,6,L,Tide,15,15,3,2.632
