Species,Day,Date,Rep,SH_Tide,SH_Temp,MHW,Tank,L,W
Crassostrea sikamea,19,NA,1,Tide,15,15,1,2.52,1.865
Crassostrea sikamea,19,NA,2,Tide,15,15,1,2.547,1.529
Crassostrea sikamea,19,NA,3,Tide,15,15,1,2.027,1.444
Crassostrea sikamea,19,NA,4,Tide,15,15,1,2.707,2.016
Crassostrea sikamea,19,NA,5,Tide,15,15,1,2.457,1.493
Crassostrea sikamea,19,NA,6,Tide,15,15,1,2.413,1.873
Crassostrea sikamea,19,NA,7,Tide,15,15,1,2.504,2.218
Crassostrea sikamea,19,NA,8,Tide,15,15,1,2.918,1.793
Crassostrea sikamea,19,NA,9,Tide,15,15,1,2.234,1.655
Crassostrea sikamea,19,NA,1,Tide,21,15,1,2.952,1.795
Crassostrea sikamea,19,NA,2,Tide,21,15,1,3.115,1.885
Crassostrea sikamea,19,NA,3,Tide,21,15,1,2.805,1.878
Crassostrea sikamea,19,NA,4,Tide,21,15,1,2.977,2.071
Crassostrea sikamea,19,NA,5,Tide,21,15,1,2.635,1.785
Crassostrea sikamea,19,NA,6,Tide,21,15,1,2.256,1.684
Crassostrea sikamea,19,NA,7,Tide,21,15,1,3.045,2.203
Crassostrea sikamea,19,NA,8,Tide,21,15,1,2.5,1.839
Crassostrea sikamea,19,NA,1,No Tide,15,15,1,2.663,1.864
Crassostrea sikamea,19,NA,2,No Tide,15,15,1,2.601,1.977
Crassostrea sikamea,19,NA,3,No Tide,15,15,1,2.782,1.896
Crassostrea sikamea,19,NA,4,No Tide,15,15,1,2.739,1.671
Crassostrea sikamea,19,NA,5,No Tide,15,15,1,2.566,1.837
Crassostrea sikamea,19,NA,6,No Tide,15,15,1,2.48,1.997
Crassostrea sikamea,19,NA,7,No Tide,15,15,1,2.571,1.866
Crassostrea sikamea,19,NA,8,No Tide,15,15,1,2.381,1.78
Crassostrea sikamea,19,NA,9,No Tide,15,15,1,2.708,1.754
Crassostrea sikamea,19,NA,10,No Tide,15,15,1,2.564,1.948
Crassostrea sikamea,19,NA,1,No Tide,21,15,1,3.038,1.77
Crassostrea sikamea,19,NA,2,No Tide,21,15,1,2.766,1.669
Crassostrea sikamea,19,NA,3,No Tide,21,15,1,2.548,1.706
Crassostrea sikamea,19,NA,4,No Tide,21,15,1,2.972,1.998
Crassostrea sikamea,19,NA,5,No Tide,21,15,1,3.049,1.714
Crassostrea sikamea,19,NA,6,No Tide,21,15,1,2.608,1.829
Crassostrea sikamea,19,NA,7,No Tide,21,15,1,2.581,1.919
Crassostrea sikamea,19,NA,8,No Tide,21,15,1,3.036,2.178
Crassostrea sikamea,19,NA,9,No Tide,21,15,1,2.595,1.802
Crassostrea sikamea,19,NA,10,No Tide,21,15,1,2.789,1.983
Crassostrea sikamea,19,NA,1,Tide,15,15,2,2.584,2.099
Crassostrea sikamea,19,NA,2,Tide,15,15,2,2.998,2.263
Crassostrea sikamea,19,NA,3,Tide,15,15,2,3.049,2.1
Crassostrea sikamea,19,NA,4,Tide,15,15,2,3.157,2.168
Crassostrea sikamea,19,NA,5,Tide,15,15,2,2.876,1.865
Crassostrea sikamea,19,NA,6,Tide,15,15,2,2.99,2.067
Crassostrea sikamea,19,NA,7,Tide,15,15,2,2.915,1.756
Crassostrea sikamea,19,NA,8,Tide,15,15,2,2.691,2.032
Crassostrea sikamea,19,NA,9,Tide,15,15,2,2.419,1.56
Crassostrea sikamea,19,NA,10,Tide,15,15,2,2.665,1.738
