Species,Day,Date,Rep,MHW,Tank,L,W
Crassostrea sikamea,1,NA,1,15,1,2.7499,1.7036
Crassostrea sikamea,1,NA,2,15,1,2.2568,1.5505
Crassostrea sikamea,1,NA,3,15,1,3.0524,1.9565
Crassostrea sikamea,1,NA,4,15,1,2.8205,2.0658
Crassostrea sikamea,1,NA,5,15,1,2.9658,1.9224
Crassostrea sikamea,1,NA,1,15,2,3.0353,2.0213
Crassostrea sikamea,1,NA,2,15,2,3.0643,2.1224
Crassostrea sikamea,1,NA,3,15,2,2.5199,2.0077
Crassostrea sikamea,1,NA,4,15,2,2.3487,1.727
Crassostrea sikamea,1,NA,5,15,2,2.7729,1.9717
Crassostrea sikamea,1,NA,1,15,3,2.886,2.074
Crassostrea sikamea,1,NA,2,15,3,2.772,1.979
Crassostrea sikamea,1,NA,3,15,3,2.918,2.062
Crassostrea sikamea,1,NA,4,15,3,2.842,1.91
Crassostrea sikamea,1,NA,5,15,3,2.807,2.24
Crassostrea sikamea,1,NA,1,15,4,2.885,2.044
Crassostrea sikamea,1,NA,2,15,4,2.602,1.943
Crassostrea sikamea,1,NA,3,15,4,3.559,1.998
Crassostrea sikamea,1,NA,4,15,4,2.524,1.561
Crassostrea sikamea,1,NA,5,15,4,2.864,1.958
Crassostrea sikamea,1,NA,1,15,5,2.991,1.94
Crassostrea sikamea,1,NA,2,15,5,2.93,2.14
Crassostrea sikamea,1,NA,3,15,5,2.599,1.935
Crassostrea sikamea,1,NA,4,15,5,3.524,2.197
Crassostrea sikamea,1,NA,5,15,5,3.013,2.068
Crassostrea sikamea,1,NA,1,18,6,3.453,1.96
Crassostrea sikamea,1,NA,2,18,6,2.366,1.941
Crassostrea sikamea,1,NA,3,18,6,2.667,2.025
Crassostrea sikamea,1,NA,4,18,6,3.219,1.908
Crassostrea sikamea,1,NA,5,18,6,3.121,1.759
Crassostrea sikamea,1,NA,1,18,7,2.802,1.878
Crassostrea sikamea,1,NA,2,18,7,2.652,1.894
Crassostrea sikamea,1,NA,3,18,7,2.924,1.845
Crassostrea sikamea,1,NA,4,18,7,2.874,1.904
Crassostrea sikamea,1,NA,5,18,7,2.523,1.626
Crassostrea sikamea,1,NA,1,18,8,2.892,1.901
Crassostrea sikamea,1,NA,2,18,8,3.078,2.164
Crassostrea sikamea,1,NA,3,18,8,2.606,2.149
Crassostrea sikamea,1,NA,4,18,8,2.589,2.109
Crassostrea sikamea,1,NA,5,18,8,2.728,1.988
Crassostrea sikamea,1,NA,1,18,9,2.856,1.861
Crassostrea sikamea,1,NA,2,18,9,2.777,2.016
Crassostrea sikamea,1,NA,3,18,9,3.067,1.876
Crassostrea sikamea,1,NA,4,18,9,2.072,2.108
Crassostrea sikamea,1,NA,5,18,9,2.547,1.658
Crassostrea sikamea,1,NA,1,18,10,3.22,2.174
Crassostrea sikamea,1,NA,2,18,10,3.107,2.066
Crassostrea sikamea,1,NA,3,18,10,2.978,2.139
Crassostrea sikamea,1,NA,4,18,10,3.138,2.013
Crassostrea sikamea,1,NA,5,18,10,2.738,2.049
Crassostrea sikamea,1,NA,1,24,11,2.291,2.135
Crassostrea sikamea,1,NA,2,24,11,2.693,1.881
Crassostrea sikamea,1,NA,3,24,11,2.595,1.718
Crassostrea sikamea,1,NA,4,24,11,2.896,1.913
Crassostrea sikamea,1,NA,5,24,11,2.46,1.87
Crassostrea sikamea,1,NA,1,24,12,2.74,1.852
Crassostrea sikamea,1,NA,2,24,12,2.547,1.79
Crassostrea sikamea,1,NA,3,24,12,2.604,1.944
Crassostrea sikamea,1,NA,4,24,12,2.443,2
Crassostrea sikamea,1,NA,5,24,12,2.518,1.823
Crassostrea sikamea,1,NA,1,24,13,3.042,1.999
Crassostrea sikamea,1,NA,2,24,13,2.75,1.832
