Species,SH_Temp,SH_Tide,MHW_Set,Tank,Oyster_Numb,Mortality,D_A,Experiment_Day,Date,,
C_sikamea,15,No Tide,15_21,1,1,1,Dead,15,3/10/2022,,
C_sikamea,15,No Tide,15_21,1,2,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,3,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,4,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,5,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,6,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,7,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,8,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,9,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,10,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,11,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,12,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,13,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,14,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,15,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,16,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,17,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,18,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,19,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,20,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,21,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,22,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,23,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,24,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,25,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,26,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,27,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,28,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,29,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,30,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,31,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,32,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,33,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,34,0,Alive,NA,NA,,
C_sikamea,15,No Tide,15_21,1,35,0,Alive,NA,NA,,
