Obs_Numb,Date_Time,Temp_F
1,2/23/2022 13:00,59.401
2,2/23/2022 13:15,59.401
3,2/23/2022 13:30,59.401
4,2/23/2022 13:45,59.445
5,2/23/2022 14:00,59.445
6,2/23/2022 14:15,59.401
7,2/23/2022 14:30,59.358
8,2/23/2022 14:45,59.358
9,2/23/2022 15:00,59.358
10,2/23/2022 15:15,59.401
11,2/23/2022 15:30,59.445
12,2/23/2022 15:45,59.486
13,2/23/2022 16:00,59.529
14,2/23/2022 16:15,59.572
15,2/23/2022 16:30,59.486
16,2/23/2022 16:45,59.315
17,2/23/2022 17:00,59.142
18,2/23/2022 17:15,59.272
19,2/23/2022 17:30,59.616
20,2/23/2022 17:45,59.959
21,2/23/2022 18:00,59.959
22,2/23/2022 18:15,59.745
23,2/23/2022 18:30,59.572
24,2/23/2022 18:45,59.401
25,2/23/2022 19:00,59.229
26,2/23/2022 19:15,59.099
27,2/23/2022 19:30,59.401
28,2/23/2022 19:45,59.788
29,2/23/2022 20:00,60.046
30,2/23/2022 20:15,59.873
31,2/23/2022 20:30,59.702
32,2/23/2022 20:45,59.486
33,2/23/2022 21:00,59.358
34,2/23/2022 21:15,59.185
35,2/23/2022 21:30,59.142
36,2/23/2022 21:45,59.486
37,2/23/2022 22:00,59.916
38,2/23/2022 22:15,60.046
39,2/23/2022 22:30,59.873
40,2/23/2022 22:45,59.702
41,2/23/2022 23:00,59.572
42,2/23/2022 23:15,59.401
43,2/23/2022 23:30,59.272
44,2/23/2022 23:45,59.142
45,2/24/2022 0:00,59.229
46,2/24/2022 0:15,59.529
47,2/24/2022 0:30,59.873
48,2/24/2022 0:45,60.003
49,2/24/2022 1:00,59.873
50,2/24/2022 1:15,59.745
51,2/24/2022 1:30,59.572
52,2/24/2022 1:45,59.445
53,2/24/2022 2:00,59.315
54,2/24/2022 2:15,59.229
55,2/24/2022 2:30,59.142
56,2/24/2022 2:45,59.358
57,2/24/2022 3:00,59.702
58,2/24/2022 3:15,60.003
59,2/24/2022 3:30,59.959
60,2/24/2022 3:45,59.788
61,2/24/2022 4:00,59.659
62,2/24/2022 4:15,59.486
63,2/24/2022 4:30,59.401
64,2/24/2022 4:45,59.272
65,2/24/2022 5:00,59.142
66,2/24/2022 5:15,59.142
67,2/24/2022 5:30,59.486
68,2/24/2022 5:45,59.873
69,2/24/2022 6:00,60.046
70,2/24/2022 6:15,59.873
71,2/24/2022 6:30,59.659
72,2/24/2022 6:45,59.445
73,2/24/2022 7:00,59.272
74,2/24/2022 7:15,59.142
75,2/24/2022 7:30,59.272
76,2/24/2022 7:45,59.659
77,2/24/2022 8:00,60.003
78,2/24/2022 8:15,60.003
79,2/24/2022 8:30,59.788
80,2/24/2022 8:45,59.572
81,2/24/2022 9:00,59.401
82,2/24/2022 9:15,59.185
83,2/24/2022 9:30,59.185
84,2/24/2022 9:45,59.529
85,2/24/2022 10:00,59.916
86,2/24/2022 10:15,60.003
87,2/24/2022 10:30,59.83
88,2/24/2022 10:45,59.616
89,2/24/2022 11:00,59.445
90,2/24/2022 11:15,59.315
91,2/24/2022 11:30,59.185
92,2/24/2022 11:45,59.142
93,2/24/2022 12:00,59.401
94,2/24/2022 12:15,59.745
95,2/24/2022 12:30,60.046
96,2/24/2022 12:45,60.303
97,2/24/2022 13:00,60.346
98,2/24/2022 13:15,60.39
99,2/24/2022 13:30,60.474
100,2/24/2022 13:45,60.561
101,2/24/2022 14:00,60.647
102,2/24/2022 14:15,60.733
103,2/24/2022 14:30,60.775
104,2/24/2022 14:45,60.861
105,2/24/2022 15:00,60.948
106,2/24/2022 15:15,61.032
107,2/24/2022 15:30,61.075
108,2/24/2022 15:45,61.162
109,2/24/2022 16:00,61.205
110,2/24/2022 16:15,61.162
111,2/24/2022 16:30,61.119
112,2/24/2022 16:45,61.075
113,2/24/2022 17:00,61.032
114,2/24/2022 17:15,60.991
115,2/24/2022 17:30,60.948
116,2/24/2022 17:45,60.948
117,2/24/2022 18:00,60.904
118,2/24/2022 18:15,60.904
119,2/24/2022 18:30,60.904
120,2/24/2022 18:45,60.861
121,2/24/2022 19:00,60.861
122,2/24/2022 19:15,60.861
123,2/24/2022 19:30,60.861
124,2/24/2022 19:45,60.861
125,2/24/2022 20:00,60.818
126,2/24/2022 20:15,60.818
127,2/24/2022 20:30,60.818
128,2/24/2022 20:45,60.818
129,2/24/2022 21:00,60.818
130,2/24/2022 21:15,60.818
131,2/24/2022 21:30,60.775
132,2/24/2022 21:45,60.775
133,2/24/2022 22:00,60.775
134,2/24/2022 22:15,60.775
135,2/24/2022 22:30,60.775
136,2/24/2022 22:45,60.775
137,2/24/2022 23:00,60.818
138,2/24/2022 23:15,60.861
139,2/24/2022 23:30,60.861
140,2/24/2022 23:45,60.861
141,2/25/2022 0:00,60.904
142,2/25/2022 0:15,60.904
143,2/25/2022 0:30,60.904
144,2/25/2022 0:45,60.948
145,2/25/2022 1:00,60.948
146,2/25/2022 1:15,60.948
147,2/25/2022 1:30,60.948
148,2/25/2022 1:45,60.991
149,2/25/2022 2:00,60.991
150,2/25/2022 2:15,60.991
151,2/25/2022 2:30,60.991
152,2/25/2022 2:45,61.032
153,2/25/2022 3:00,61.032
154,2/25/2022 3:15,61.032
155,2/25/2022 3:30,61.032
156,2/25/2022 3:45,61.032
157,2/25/2022 4:00,61.075
158,2/25/2022 4:15,61.075
159,2/25/2022 4:30,61.075
160,2/25/2022 4:45,61.075
161,2/25/2022 5:00,61.075
162,2/25/2022 5:15,61.075
163,2/25/2022 5:30,61.075
164,2/25/2022 5:45,61.032
165,2/25/2022 6:00,61.032
166,2/25/2022 6:15,61.032
167,2/25/2022 6:30,61.032
168,2/25/2022 6:45,60.991
169,2/25/2022 7:00,60.991
170,2/25/2022 7:15,60.991
171,2/25/2022 7:30,60.948
172,2/25/2022 7:45,60.948
173,2/25/2022 8:00,60.948
174,2/25/2022 8:15,60.948
175,2/25/2022 8:30,60.948
176,2/25/2022 8:45,60.948
177,2/25/2022 9:00,60.948
178,2/25/2022 9:15,60.904
179,2/25/2022 9:30,60.904
180,2/25/2022 9:45,60.904
181,2/25/2022 10:00,60.904
182,2/25/2022 10:15,60.904
183,2/25/2022 10:30,60.861
184,2/25/2022 10:45,60.904
185,2/25/2022 11:00,60.904
186,2/25/2022 11:15,60.948
187,2/25/2022 11:30,60.948
188,2/25/2022 11:45,60.948
189,2/25/2022 12:00,61.119
190,2/25/2022 12:15,61.119
191,2/25/2022 12:30,61.119
192,2/25/2022 12:45,61.162
193,2/25/2022 13:00,61.205
194,2/25/2022 13:15,61.205
195,2/25/2022 13:30,61.248
196,2/25/2022 13:45,61.29
197,2/25/2022 14:00,61.333
198,2/25/2022 14:15,61.376
199,2/25/2022 14:30,61.462
200,2/25/2022 14:45,61.462
201,2/25/2022 15:00,61.506
202,2/25/2022 15:15,61.547
203,2/25/2022 15:30,61.547
204,2/25/2022 15:45,61.547
205,2/25/2022 16:00,61.547
206,2/25/2022 16:15,61.547
207,2/25/2022 16:30,61.547
208,2/25/2022 16:45,61.547
209,2/25/2022 17:00,61.547
210,2/25/2022 17:15,61.506
211,2/25/2022 17:30,61.506
212,2/25/2022 17:45,61.506
213,2/25/2022 18:00,61.462
214,2/25/2022 18:15,61.462
215,2/25/2022 18:30,61.462
216,2/25/2022 18:45,61.462
217,2/25/2022 19:00,61.419
218,2/25/2022 19:15,61.419
219,2/25/2022 19:30,61.419
220,2/25/2022 19:45,61.376
221,2/25/2022 20:00,61.376
222,2/25/2022 20:15,61.376
223,2/25/2022 20:30,61.376
224,2/25/2022 20:45,61.376
225,2/25/2022 21:00,61.333
226,2/25/2022 21:15,61.29
227,2/25/2022 21:30,61.29
228,2/25/2022 21:45,61.29
229,2/25/2022 22:00,61.29
230,2/25/2022 22:15,61.29
231,2/25/2022 22:30,61.248
232,2/25/2022 22:45,61.29
233,2/25/2022 23:00,61.29
234,2/25/2022 23:15,61.29
235,2/25/2022 23:30,61.333
236,2/25/2022 23:45,61.333
237,2/26/2022 0:00,61.333
238,2/26/2022 0:15,61.333
239,2/26/2022 0:30,61.376
240,2/26/2022 0:45,61.376
241,2/26/2022 1:00,61.376
242,2/26/2022 1:15,61.376
243,2/26/2022 1:30,61.419
244,2/26/2022 1:45,61.419
245,2/26/2022 2:00,61.419
246,2/26/2022 2:15,61.419
247,2/26/2022 2:30,61.462
248,2/26/2022 2:45,61.462
249,2/26/2022 3:00,61.462
250,2/26/2022 3:15,61.462
251,2/26/2022 3:30,61.462
252,2/26/2022 3:45,61.462
253,2/26/2022 4:00,61.506
254,2/26/2022 4:15,61.506
255,2/26/2022 4:30,61.506
256,2/26/2022 4:45,61.506
257,2/26/2022 5:00,61.506
258,2/26/2022 5:15,61.506
259,2/26/2022 5:30,61.462
260,2/26/2022 5:45,61.462
261,2/26/2022 6:00,61.462
262,2/26/2022 6:15,61.462
263,2/26/2022 6:30,61.462
264,2/26/2022 6:45,61.419
265,2/26/2022 7:00,61.419
266,2/26/2022 7:15,61.419
267,2/26/2022 7:30,61.419
268,2/26/2022 7:45,61.419
269,2/26/2022 8:00,61.376
270,2/26/2022 8:15,61.376
271,2/26/2022 8:30,61.376
272,2/26/2022 8:45,61.333
273,2/26/2022 9:00,61.29
274,2/26/2022 9:15,61.29
275,2/26/2022 9:30,61.248
276,2/26/2022 9:45,61.205
277,2/26/2022 10:00,61.205
278,2/26/2022 10:15,61.162
279,2/26/2022 10:30,61.162
280,2/26/2022 10:45,61.162
281,2/26/2022 11:00,61.162
282,2/26/2022 11:15,61.119
283,2/26/2022 11:30,61.119
284,2/26/2022 11:45,61.075
285,2/26/2022 12:00,61.032
286,2/26/2022 12:15,61.032
287,2/26/2022 12:30,61.075
288,2/26/2022 12:45,61.075
289,2/26/2022 13:00,61.075
290,2/26/2022 13:15,61.162
291,2/26/2022 13:30,61.29
292,2/26/2022 13:45,61.333
293,2/26/2022 14:00,61.376
294,2/26/2022 14:15,61.462
295,2/26/2022 14:30,61.506
296,2/26/2022 14:45,61.59
297,2/26/2022 15:00,61.677
298,2/26/2022 15:15,61.761
299,2/26/2022 15:30,61.848
300,2/26/2022 15:45,61.891
301,2/26/2022 16:00,61.977
302,2/26/2022 16:15,62.062
303,2/26/2022 16:30,62.148
304,2/26/2022 16:45,62.191
305,2/26/2022 17:00,62.276
306,2/26/2022 17:15,62.148
307,2/26/2022 17:30,61.891
308,2/26/2022 17:45,61.547
309,2/26/2022 18:00,61.205
310,2/26/2022 18:15,60.904
311,2/26/2022 18:30,60.604
312,2/26/2022 18:45,60.346
313,2/26/2022 19:00,60.089
314,2/26/2022 19:15,59.873
315,2/26/2022 19:30,59.659
316,2/26/2022 19:45,59.486
317,2/26/2022 20:00,59.272
318,2/26/2022 20:15,59.099
319,2/26/2022 20:30,59.229
320,2/26/2022 20:45,59.572
321,2/26/2022 21:00,59.959
322,2/26/2022 21:15,59.916
323,2/26/2022 21:30,59.659
324,2/26/2022 21:45,59.486
325,2/26/2022 22:00,59.272
326,2/26/2022 22:15,59.099
327,2/26/2022 22:30,59.272
328,2/26/2022 22:45,59.616
329,2/26/2022 23:00,60.003
330,2/26/2022 23:15,59.959
331,2/26/2022 23:30,59.788
332,2/26/2022 23:45,59.616
333,2/27/2022 0:00,59.445
334,2/27/2022 0:15,59.315
335,2/27/2022 0:30,59.185
336,2/27/2022 0:45,59.142
337,2/27/2022 1:00,59.401
338,2/27/2022 1:15,59.702
339,2/27/2022 1:30,59.959
340,2/27/2022 1:45,59.873
341,2/27/2022 2:00,59.702
342,2/27/2022 2:15,59.529
343,2/27/2022 2:30,59.401
344,2/27/2022 2:45,59.229
345,2/27/2022 3:00,59.142
346,2/27/2022 3:15,59.272
347,2/27/2022 3:30,59.572
348,2/27/2022 3:45,59.873
349,2/27/2022 4:00,59.959
350,2/27/2022 4:15,59.788
351,2/27/2022 4:30,59.616
352,2/27/2022 4:45,59.445
353,2/27/2022 5:00,59.229
354,2/27/2022 5:15,59.142
355,2/27/2022 5:30,59.445
356,2/27/2022 5:45,59.788
357,2/27/2022 6:00,59.959
358,2/27/2022 6:15,59.788
359,2/27/2022 6:30,59.529
360,2/27/2022 6:45,59.315
