Obs_Numb,Date_Time,Temp_F
1,2/23/2022 13:00,59.229
2,2/23/2022 13:15,59.272
3,2/23/2022 13:30,59.272
4,2/23/2022 13:45,59.272
5,2/23/2022 14:00,59.315
6,2/23/2022 14:15,59.272
7,2/23/2022 14:30,59.229
8,2/23/2022 14:45,59.229
9,2/23/2022 15:00,59.272
10,2/23/2022 15:15,59.272
11,2/23/2022 15:30,59.315
12,2/23/2022 15:45,59.358
13,2/23/2022 16:00,59.445
14,2/23/2022 16:15,59.401
15,2/23/2022 16:30,59.229
16,2/23/2022 16:45,59.056
17,2/23/2022 17:00,58.885
18,2/23/2022 17:15,59.185
19,2/23/2022 17:30,59.529
20,2/23/2022 17:45,59.916
21,2/23/2022 18:00,59.745
22,2/23/2022 18:15,59.529
23,2/23/2022 18:30,59.315
24,2/23/2022 18:45,59.142
25,2/23/2022 19:00,58.971
26,2/23/2022 19:15,58.971
27,2/23/2022 19:30,59.315
28,2/23/2022 19:45,59.788
29,2/23/2022 20:00,59.873
30,2/23/2022 20:15,59.659
31,2/23/2022 20:30,59.445
32,2/23/2022 20:45,59.272
33,2/23/2022 21:00,59.099
34,2/23/2022 21:15,58.971
35,2/23/2022 21:30,59.014
36,2/23/2022 21:45,59.445
37,2/23/2022 22:00,59.83
38,2/23/2022 22:15,59.873
39,2/23/2022 22:30,59.616
40,2/23/2022 22:45,59.445
41,2/23/2022 23:00,59.272
42,2/23/2022 23:15,59.185
43,2/23/2022 23:30,59.056
44,2/23/2022 23:45,58.971
45,2/24/2022 0:00,59.099
46,2/24/2022 0:15,59.486
47,2/24/2022 0:30,59.83
48,2/24/2022 0:45,59.83
49,2/24/2022 1:00,59.659
50,2/24/2022 1:15,59.486
51,2/24/2022 1:30,59.358
52,2/24/2022 1:45,59.229
53,2/24/2022 2:00,59.099
54,2/24/2022 2:15,59.014
55,2/24/2022 2:30,58.928
56,2/24/2022 2:45,59.315
57,2/24/2022 3:00,59.659
58,2/24/2022 3:15,59.916
59,2/24/2022 3:30,59.745
60,2/24/2022 3:45,59.572
61,2/24/2022 4:00,59.401
62,2/24/2022 4:15,59.272
63,2/24/2022 4:30,59.142
64,2/24/2022 4:45,59.014
65,2/24/2022 5:00,58.928
66,2/24/2022 5:15,59.014
67,2/24/2022 5:30,59.486
68,2/24/2022 5:45,59.83
69,2/24/2022 6:00,59.873
70,2/24/2022 6:15,59.616
71,2/24/2022 6:30,59.401
72,2/24/2022 6:45,59.229
73,2/24/2022 7:00,59.056
74,2/24/2022 7:15,58.885
75,2/24/2022 7:30,59.229
76,2/24/2022 7:45,59.616
77,2/24/2022 8:00,59.959
78,2/24/2022 8:15,59.745
79,2/24/2022 8:30,59.529
80,2/24/2022 8:45,59.315
81,2/24/2022 9:00,59.142
82,2/24/2022 9:15,58.971
83,2/24/2022 9:30,59.056
84,2/24/2022 9:45,59.486
85,2/24/2022 10:00,59.873
86,2/24/2022 10:15,59.788
87,2/24/2022 10:30,59.572
88,2/24/2022 10:45,59.358
89,2/24/2022 11:00,59.185
90,2/24/2022 11:15,59.099
91,2/24/2022 11:30,58.971
92,2/24/2022 11:45,58.971
93,2/24/2022 12:00,59.358
94,2/24/2022 12:15,59.702
95,2/24/2022 12:30,60.003
96,2/24/2022 12:45,60.132
97,2/24/2022 13:00,60.217
98,2/24/2022 13:15,60.303
99,2/24/2022 13:30,60.346
100,2/24/2022 13:45,60.433
101,2/24/2022 14:00,60.517
102,2/24/2022 14:15,60.604
103,2/24/2022 14:30,60.69
104,2/24/2022 14:45,60.733
105,2/24/2022 15:00,60.818
106,2/24/2022 15:15,60.904
107,2/24/2022 15:30,60.991
108,2/24/2022 15:45,61.032
109,2/24/2022 16:00,61.032
110,2/24/2022 16:15,60.991
111,2/24/2022 16:30,60.948
112,2/24/2022 16:45,60.904
113,2/24/2022 17:00,60.861
114,2/24/2022 17:15,60.818
115,2/24/2022 17:30,60.775
116,2/24/2022 17:45,60.775
117,2/24/2022 18:00,60.733
118,2/24/2022 18:15,60.733
119,2/24/2022 18:30,60.733
120,2/24/2022 18:45,60.733
121,2/24/2022 19:00,60.69
122,2/24/2022 19:15,60.69
123,2/24/2022 19:30,60.69
124,2/24/2022 19:45,60.69
125,2/24/2022 20:00,60.69
126,2/24/2022 20:15,60.69
127,2/24/2022 20:30,60.647
128,2/24/2022 20:45,60.647
129,2/24/2022 21:00,60.647
130,2/24/2022 21:15,60.647
131,2/24/2022 21:30,60.647
132,2/24/2022 21:45,60.647
133,2/24/2022 22:00,60.647
134,2/24/2022 22:15,60.647
135,2/24/2022 22:30,60.647
136,2/24/2022 22:45,60.647
137,2/24/2022 23:00,60.69
138,2/24/2022 23:15,60.69
139,2/24/2022 23:30,60.733
140,2/24/2022 23:45,60.733
141,2/25/2022 0:00,60.733
142,2/25/2022 0:15,60.775
143,2/25/2022 0:30,60.775
144,2/25/2022 0:45,60.775
145,2/25/2022 1:00,60.775
146,2/25/2022 1:15,60.818
147,2/25/2022 1:30,60.818
148,2/25/2022 1:45,60.818
149,2/25/2022 2:00,60.861
150,2/25/2022 2:15,60.861
151,2/25/2022 2:30,60.861
152,2/25/2022 2:45,60.861
153,2/25/2022 3:00,60.861
154,2/25/2022 3:15,60.904
155,2/25/2022 3:30,60.904
156,2/25/2022 3:45,60.904
157,2/25/2022 4:00,60.904
158,2/25/2022 4:15,60.904
159,2/25/2022 4:30,60.904
160,2/25/2022 4:45,60.904
161,2/25/2022 5:00,60.904
162,2/25/2022 5:15,60.904
163,2/25/2022 5:30,60.904
164,2/25/2022 5:45,60.904
165,2/25/2022 6:00,60.861
166,2/25/2022 6:15,60.861
167,2/25/2022 6:30,60.861
168,2/25/2022 6:45,60.861
169,2/25/2022 7:00,60.818
170,2/25/2022 7:15,60.818
171,2/25/2022 7:30,60.818
172,2/25/2022 7:45,60.818
173,2/25/2022 8:00,60.775
174,2/25/2022 8:15,60.775
175,2/25/2022 8:30,60.775
176,2/25/2022 8:45,60.775
177,2/25/2022 9:00,60.775
178,2/25/2022 9:15,60.775
179,2/25/2022 9:30,60.775
180,2/25/2022 9:45,60.733
181,2/25/2022 10:00,60.733
182,2/25/2022 10:15,60.733
183,2/25/2022 10:30,60.733
184,2/25/2022 10:45,60.733
185,2/25/2022 11:00,60.775
186,2/25/2022 11:15,60.775
187,2/25/2022 11:30,60.775
188,2/25/2022 11:45,60.818
189,2/25/2022 12:00,60.948
190,2/25/2022 12:15,60.948
191,2/25/2022 12:30,60.991
192,2/25/2022 12:45,61.032
193,2/25/2022 13:00,61.075
194,2/25/2022 13:15,61.075
195,2/25/2022 13:30,61.119
196,2/25/2022 13:45,61.205
197,2/25/2022 14:00,61.248
198,2/25/2022 14:15,61.29
199,2/25/2022 14:30,61.333
200,2/25/2022 14:45,61.376
201,2/25/2022 15:00,61.419
202,2/25/2022 15:15,61.419
203,2/25/2022 15:30,61.419
204,2/25/2022 15:45,61.419
205,2/25/2022 16:00,61.376
206,2/25/2022 16:15,61.376
207,2/25/2022 16:30,61.376
208,2/25/2022 16:45,61.376
209,2/25/2022 17:00,61.376
210,2/25/2022 17:15,61.376
211,2/25/2022 17:30,61.333
212,2/25/2022 17:45,61.333
213,2/25/2022 18:00,61.333
214,2/25/2022 18:15,61.29
215,2/25/2022 18:30,61.29
216,2/25/2022 18:45,61.29
217,2/25/2022 19:00,61.248
218,2/25/2022 19:15,61.248
219,2/25/2022 19:30,61.248
220,2/25/2022 19:45,61.248
221,2/25/2022 20:00,61.205
222,2/25/2022 20:15,61.205
223,2/25/2022 20:30,61.205
224,2/25/2022 20:45,61.205
225,2/25/2022 21:00,61.162
226,2/25/2022 21:15,61.162
227,2/25/2022 21:30,61.119
228,2/25/2022 21:45,61.119
229,2/25/2022 22:00,61.119
230,2/25/2022 22:15,61.119
231,2/25/2022 22:30,61.119
232,2/25/2022 22:45,61.119
233,2/25/2022 23:00,61.162
234,2/25/2022 23:15,61.162
235,2/25/2022 23:30,61.162
236,2/25/2022 23:45,61.205
237,2/26/2022 0:00,61.205
238,2/26/2022 0:15,61.205
