Obs_Numb,Date_Time,Temp_F
1,2/23/2022 13:00,59.315
2,2/23/2022 13:15,59.358
3,2/23/2022 13:30,59.358
4,2/23/2022 13:45,59.358
5,2/23/2022 14:00,59.401
6,2/23/2022 14:15,59.358
7,2/23/2022 14:30,59.315
8,2/23/2022 14:45,59.315
9,2/23/2022 15:00,59.315
10,2/23/2022 15:15,59.358
11,2/23/2022 15:30,59.358
12,2/23/2022 15:45,59.401
13,2/23/2022 16:00,59.486
14,2/23/2022 16:15,59.486
15,2/23/2022 16:30,59.486
16,2/23/2022 16:45,59.486
17,2/23/2022 17:00,59.486
18,2/23/2022 17:15,59.486
19,2/23/2022 17:30,59.572
20,2/23/2022 17:45,59.702
21,2/23/2022 18:00,59.873
22,2/23/2022 18:15,60.003
23,2/23/2022 18:30,60.174
24,2/23/2022 18:45,60.303
25,2/23/2022 19:00,60.433
26,2/23/2022 19:15,60.604
27,2/23/2022 19:30,60.733
28,2/23/2022 19:45,60.861
29,2/23/2022 20:00,60.948
30,2/23/2022 20:15,61.032
31,2/23/2022 20:30,61.119
32,2/23/2022 20:45,61.248
33,2/23/2022 21:00,61.376
34,2/23/2022 21:15,61.462
35,2/23/2022 21:30,61.547
36,2/23/2022 21:45,61.59
37,2/23/2022 22:00,61.633
38,2/23/2022 22:15,61.677
39,2/23/2022 22:30,61.72
40,2/23/2022 22:45,61.761
41,2/23/2022 23:00,59.702
42,2/23/2022 23:15,59.358
43,2/23/2022 23:30,59.272
44,2/23/2022 23:45,59.142
45,2/24/2022 0:00,59.142
46,2/24/2022 0:15,59.445
47,2/24/2022 0:30,59.702
48,2/24/2022 0:45,59.959
49,2/24/2022 1:00,59.83
50,2/24/2022 1:15,59.702
51,2/24/2022 1:30,59.572
52,2/24/2022 1:45,59.445
53,2/24/2022 2:00,59.315
54,2/24/2022 2:15,59.229
55,2/24/2022 2:30,59.142
56,2/24/2022 2:45,59.272
57,2/24/2022 3:00,59.529
58,2/24/2022 3:15,59.873
59,2/24/2022 3:30,59.916
60,2/24/2022 3:45,59.788
61,2/24/2022 4:00,59.659
62,2/24/2022 4:15,59.486
63,2/24/2022 4:30,59.358
64,2/24/2022 4:45,59.272
65,2/24/2022 5:00,59.229
66,2/24/2022 5:15,59.529
67,2/24/2022 5:30,59.83
68,2/24/2022 5:45,60.132
69,2/24/2022 6:00,60.39
70,2/24/2022 6:15,60.604
71,2/24/2022 6:30,60.818
72,2/24/2022 6:45,60.991
73,2/24/2022 7:00,61.119
74,2/24/2022 7:15,61.162
75,2/24/2022 7:30,61.248
76,2/24/2022 7:45,61.29
77,2/24/2022 8:00,61.333
78,2/24/2022 8:15,61.419
79,2/24/2022 8:30,61.506
80,2/24/2022 8:45,61.59
81,2/24/2022 9:00,61.677
82,2/24/2022 9:15,61.72
83,2/24/2022 9:30,61.72
84,2/24/2022 9:45,61.72
85,2/24/2022 10:00,61.677
86,2/24/2022 10:15,61.677
87,2/24/2022 10:30,61.72
