Obs_Numb,Date_Time,Temp_F,,,,,,
1,2/23/2022 12:00,59.959,,,,,,
2,2/24/2022 0:00,59.099,,,,,,
3,2/24/2022 12:00,59.185,,,,,,
4,2/25/2022 0:00,60.818,,,,,,
5,2/25/2022 12:00,60.948,,,,,,
6,2/26/2022 0:00,61.248,,,,,,
7,2/26/2022 12:00,60.948,,,,,,
8,2/27/2022 0:00,59.445,,,,,,
9,2/27/2022 12:00,59.916,,,,,,
10,2/28/2022 0:00,59.056,,,,,,
11,2/28/2022 12:00,59.616,,,,,,
12,3/1/2022 0:00,59.702,,,,,,
13,3/1/2022 12:00,60.39,,,,,,
14,3/2/2022 0:00,59.272,,,,,,
15,3/2/2022 12:00,61.205,,,,,,
16,3/3/2022 0:00,62.962,,,,,,
17,3/3/2022 12:00,61.29,,,,,,
18,3/4/2022 0:00,59.272,,,,,,
19,3/4/2022 12:00,60.217,,,,,,
20,3/5/2022 0:00,59.873,,,,,,
21,3/5/2022 12:00,59.83,,,,,,
22,3/6/2022 0:00,59.142,,,,,,
23,3/6/2022 12:00,59.83,,,,,,
24,3/7/2022 0:00,60.733,,,,,,
25,3/7/2022 12:00,61.29,,,,,,
26,3/8/2022 0:00,61.761,,,,,,
27,3/8/2022 12:00,61.977,,,,,,
28,3/9/2022 0:00,60.174,,,,,,
29,3/9/2022 12:00,60.303,,,,,,
30,3/10/2022 0:00,61.72,,,,,,
31,3/10/2022 12:00,63.176,,,,,,
32,3/11/2022 0:00,60.775,,,,,,
33,3/11/2022 12:00,60.303,,,,,,
34,3/12/2022 0:00,62.447,,,,,,
35,3/12/2022 12:00,58.282,,,,,,
36,3/13/2022 0:00,60.003,,,,,,
37,3/13/2022 12:00,60.132,,,,,,
38,3/14/2022 0:00,59.014,,,,,,
39,3/14/2022 12:00,63.219,,,,,,
40,3/15/2022 0:00,67.329,,,,,,
41,3/15/2022 12:00,67.885,,,,,,
42,3/16/2022 0:00,65.701,,,,,,
43,3/16/2022 12:00,65.487,,,,,,
44,3/17/2022 0:00,66.558,,,,,,
45,3/17/2022 12:00,65.745,,,,,,
46,3/18/2022 0:00,57.765,,,,,,
47,3/18/2022 12:00,62.148,,,,,,
48,3/19/2022 0:00,57.376,,,,,,
49,3/19/2022 12:00,62.105,,,,,,
50,3/20/2022 0:00,55.299,,,,,,
51,3/20/2022 12:00,70.543,,,,,,
52,3/21/2022 0:00,57.636,,,,,,
53,3/21/2022 12:00,74.899,,,,,,
54,3/22/2022 0:00,63.689,,,,,,
55,3/22/2022 12:00,83.959,,,,,,
56,3/23/2022 0:00,62.704,,,,,,
57,3/23/2022 12:00,66.13,,,,,,
58,3/24/2022 0:00,60.861,,,,,,
59,3/24/2022 12:00,76.681,,,,,,
60,3/25/2022 0:00,61.29,,,,,,
61,3/25/2022 12:00,62.276,,,,,,
62,3/26/2022 0:00,58.195,,,,,,
63,3/26/2022 12:00,68.484,,,,,,
64,3/27/2022 0:00,60.174,,,,,,
65,3/27/2022 12:00,66.515,,,,,,
66,3/28/2022 0:00,59.315,,,,,,
67,3/28/2022 12:00,70.759,,,,,,
68,3/29/2022 0:00,59.401,,,,,,
69,3/29/2022 12:00,62.834,,,,,,
70,3/30/2022 0:00,59.272,,,,,,
71,3/30/2022 12:00,71.704,,,,,,
72,3/31/2022 0:00,61.119,,,,,,
73,3/31/2022 12:00,74.338,,,,,,
74,4/1/2022 0:00,62.533,,,,,,
75,4/1/2022 12:00,75.985,,,,,,
76,4/2/2022 0:00,65.273,,,,,,
77,4/2/2022 12:00,74.856,,,,,,
78,4/3/2022 0:00,63.475,,,,,,
79,4/3/2022 12:00,75.942,,,,,,
80,4/4/2022 0:00,62.875,,,,,,
81,4/4/2022 12:00,73.17,,,,,,
82,4/5/2022 0:00,63.39,,,,,,
83,4/5/2022 12:00,73.861,,,,,,
84,4/6/2022 0:00,62.834,,,,,,
85,4/6/2022 12:00,75.681,Logged,,,,,
86,4/7/2022 0:00,67.242,,,,,,
87,4/7/2022 12:00,79.831,,,,,,
88,4/8/2022 0:00,73.299,,Logged,,,,
89,4/8/2022 12:00,80.935,,,,,,
90,4/9/2022 0:00,62.406,,,,,,
91,4/9/2022 12:00,67.456,,,,,,
92,4/10/2022 0:00,65.017,,,,,,
93,4/10/2022 12:00,77.859,,,,,,
94,4/11/2022 0:00,60.003,,,,,,
