Obs_Numb,Date_Time,Temp_F,,,,,,,
1,2/23/2022 13:00,61.333,Logged,,,,,,
2,2/24/2022 1:00,70.846,,,,,,,
3,2/24/2022 13:00,70.243,,,,,,,
4,2/25/2022 1:00,70.887,,,,,,,
5,2/25/2022 13:00,71.92,,,,,,,
6,2/26/2022 1:00,70.072,,,,,,,
7,2/26/2022 13:00,70.029,,,,,,,
8,2/27/2022 1:00,70.029,,,,,,,
9,2/27/2022 13:00,71.704,,,,,,,
10,2/28/2022 1:00,70.201,,,,,,,
11,2/28/2022 13:00,71.361,,,,,,,
12,3/1/2022 1:00,69.771,,,,,,,
13,3/1/2022 13:00,71.361,,,,,,,
14,3/2/2022 1:00,70.502,,,,,,,
15,3/2/2022 13:00,70.543,,,,,,,
16,3/3/2022 1:00,70.673,,,,,,,
17,3/3/2022 13:00,70.887,,,,,,,
18,3/4/2022 1:00,71.103,,,,,,,
19,3/4/2022 13:00,71.103,,,,,,,
20,3/5/2022 1:00,69.814,,,,,,,
21,3/5/2022 13:00,69.814,,,,,,,
22,3/6/2022 1:00,69.858,,,,,,,
23,3/6/2022 13:00,70.887,,,,,,,
24,3/7/2022 1:00,69.129,,,,,,,
25,3/7/2022 13:00,69.858,,,,,,,
26,3/8/2022 1:00,69.3,,,,,,,
27,3/8/2022 13:00,71.06,,,,,,,
28,3/9/2022 1:00,70.158,,,,,,,
29,3/9/2022 13:00,69.814,,,,,,,
30,3/10/2022 1:00,69.728,,,,,,,
31,3/10/2022 13:00,69.814,,,,,,,
32,3/11/2022 1:00,70.286,,,,,,,
33,3/11/2022 13:00,70.329,,,,,,,
34,3/12/2022 1:00,69.985,,,,,,,
35,3/12/2022 13:00,71.577,,,,,,,
36,3/13/2022 1:00,70.716,,,,,,,
37,3/13/2022 13:00,71.317,,,,,,,
38,3/14/2022 1:00,70.502,,,,,,,
39,3/14/2022 13:00,76.375,,,,,,,
40,3/15/2022 1:00,78.208,,,,,,,
41,3/15/2022 13:00,79.788,,,,,,,
42,3/16/2022 1:00,78.953,,,,,,,
43,3/16/2022 13:00,77.99,,,,,,,
44,3/17/2022 1:00,78.251,,,,,,,
45,3/17/2022 13:00,65.872,,,,,,,
46,3/18/2022 1:00,54.909,,Logged,,,,,
47,3/18/2022 13:00,68.142,,,Logged,,,,
48,3/19/2022 1:00,56.165,,Logged,,,,,
49,3/19/2022 13:00,63.648,,,Logged,,,,
50,3/20/2022 1:00,54.343,,Logged,,,,,
51,3/20/2022 13:00,75.594,,,Logged,,,,
52,3/21/2022 1:00,56.642,,Logged,,,,,
53,3/21/2022 13:00,79.655,,,Logged,,,,
54,3/22/2022 1:00,62.661,,,,,,,
55,3/22/2022 13:00,87.483,,,,,,,
56,3/23/2022 1:00,61.59,,,,,,,
57,3/23/2022 13:00,69.771,,,,,,,
58,3/24/2022 1:00,59.959,,,,,,,
59,3/24/2022 13:00,79.216,,,,,,,
60,3/25/2022 1:00,60.604,,,,,,,
61,3/25/2022 13:00,66,,,,,,,
62,3/26/2022 1:00,57.549,,,,,,,
63,3/26/2022 13:00,71.834,,,,,,,
64,3/27/2022 1:00,59.572,,,,,,,
65,3/27/2022 13:00,67.928,,,,,,,
66,3/28/2022 1:00,59.014,,,,,,,
67,3/28/2022 13:00,71.577,,,,,,,
68,3/29/2022 1:00,58.885,,,,,,,
69,3/29/2022 13:00,64.204,,,,,,,
70,3/30/2022 1:00,58.669,,,,,,,
71,3/30/2022 13:00,73.429,,,,,,,
72,3/31/2022 1:00,58.368,,,,,,,
73,3/31/2022 13:00,81.952,,,,,,,
74,4/1/2022 1:00,59.916,,,,,,,
75,4/1/2022 13:00,77.203,,,,,,,
76,4/2/2022 1:00,62.577,,,,,,,
77,4/2/2022 13:00,83.332,,,,,,,
78,4/3/2022 1:00,61.633,,,,,,,
79,4/3/2022 13:00,83.914,,,,,,,
80,4/4/2022 1:00,60.991,,,,,,,
81,4/4/2022 13:00,75.463,,,,,,,
82,4/5/2022 1:00,61.761,,,,,,,
83,4/5/2022 13:00,80.625,,,,,,,
84,4/6/2022 1:00,61.419,,,,,,,
85,4/6/2022 13:00,79.216,,,,,,,
86,4/7/2022 1:00,65.745,,,,,,,
87,4/7/2022 13:00,86.346,,,,,,,
88,4/8/2022 1:00,71.361,,,,,,,
89,4/8/2022 13:00,86.527,,,,,,,
90,4/9/2022 1:00,60.775,,,,,,,
91,4/9/2022 13:00,76.246,,,,,,,
92,4/10/2022 1:00,63.903,,,,,,,
93,4/10/2022 13:00,83.422,,,,,,,
94,4/11/2022 1:00,58.023,,,,,,,
95,4/11/2022 13:00,76.55,,,,,,,
96,4/12/2022 1:00,51.062,,,,,,,
97,4/12/2022 13:00,83.736,,,,,,,
98,4/13/2022 1:00,55.256,,,,,,,
99,4/13/2022 13:00,67.456,,,,,,,
100,4/14/2022 1:00,57.592,,,,,,,
101,4/14/2022 13:00,59.142,,,,,,,
102,4/15/2022 1:00,57.376,,,,,,,
103,4/15/2022 13:00,74.12,,,,,,,
104,4/16/2022 1:00,61.804,,,,,,,
105,4/16/2022 13:00,83.824,,,,,,,
106,4/17/2022 1:00,53.341,,,,,,,
107,4/17/2022 13:00,75.333,,,,,,,
108,4/18/2022 1:00,54.43,,,,,,,
109,4/18/2022 13:00,77.117,,,,,,,
110,4/19/2022 1:00,62.148,,,,,,,
111,4/19/2022 13:00,76.636,,,,,,,
112,4/20/2022 1:00,57.85,,,,,,,
113,4/20/2022 13:00,80.008,,,,,,,
114,4/21/2022 1:00,60.089,,,,,,,
115,4/21/2022 13:00,69.6,,,,,,,
116,4/22/2022 1:00,57.722,,,,,,,
117,4/22/2022 13:00,80.89,,,,,,,
118,4/23/2022 1:00,58.626,,,,,,,
119,4/23/2022 13:00,83.467,,,,,,,
120,4/24/2022 1:00,62.62,,,,,,,
121,4/24/2022 13:00,88.671,,,,,,,
122,4/25/2022 1:00,60.647,,,,,,,
123,4/25/2022 13:00,95.04,,,,,,,
124,4/26/2022 1:00,66.943,,,,,,,
125,4/26/2022 13:00,74.813,,,,,,,
126,4/27/2022 1:00,62.319,,,,,,,
127,4/27/2022 13:00,61.29,,,,,,,
128,4/28/2022 1:00,59.83,,,,,,,
129,4/28/2022 13:00,70.63,,,,,,,
130,4/29/2022 1:00,61.633,,,,,,,
131,4/29/2022 13:00,72.351,,,,,,,
132,4/30/2022 1:00,66.173,,,,,,,
133,4/30/2022 13:00,78.471,,,,,,,
134,5/1/2022 1:00,55.69,,,,,,,
135,5/1/2022 13:00,68.956,,,,,,,
136,5/2/2022 1:00,72.05,,,,,,,
137,5/2/2022 13:00,69.471,,,,,,,
138,5/3/2022 1:00,73.386,,,,,,,
139,5/3/2022 13:00,70.459,,,,,,,
140,5/4/2022 1:00,75.637,,,,,,,
141,5/4/2022 13:00,73.558,,,,,,,
142,5/5/2022 1:00,74.163,,,,,,,
143,5/5/2022 13:00,71.877,,,,,,,
144,5/6/2022 1:00,71.834,,,,,,,
145,5/6/2022 13:00,71.49,,,,,,,
146,5/7/2022 1:00,71.19,,,,,,,
147,5/7/2022 13:00,70.029,,,,,,,
148,5/8/2022 1:00,70.286,,,,,,,
149,5/8/2022 13:00,68.227,,,,,,,
150,5/9/2022 1:00,67.158,,,,,,,
151,5/9/2022 13:00,65.959,,,,,,,
152,5/10/2022 1:00,67.842,,,,,,,
153,5/10/2022 13:00,66.943,,,,,,,
154,5/11/2022 1:00,68.571,,,,,,,
155,5/11/2022 13:00,67.714,,,,,,,
156,5/12/2022 1:00,68.657,,,,,,,
157,5/12/2022 13:00,69.256,,,,,,,
158,5/12/2022 15:05,,,,,Logged,Logged,,
159,5/12/2022 15:05,,,,,,,Logged,Logged
