Species,Day,Date,Rep,L_W,MHW,Tank,Size_cm
Magallana gigas,1,,1,L,15,1,2.449
Magallana gigas,1,,1,W,15,1,1.742
Magallana gigas,1,,2,L,15,1,2.942
Magallana gigas,1,,2,W,15,1,1.863
Magallana gigas,1,,3,L,15,1,2.448
Magallana gigas,1,,3,W,15,1,1.675
Magallana gigas,1,,4,L,15,1,2.673
Magallana gigas,1,,4,W,15,1,1.658
Magallana gigas,1,,5,L,15,1,2.401
Magallana gigas,1,,5,W,15,1,1.76
Magallana gigas,1,,1,L,15,2,2.842
Magallana gigas,1,,1,W,15,2,1.766
Magallana gigas,1,,2,L,15,2,2.883
Magallana gigas,1,,2,W,15,2,1.731
Magallana gigas,1,,3,L,15,2,3.426
Magallana gigas,1,,3,W,15,2,1.841
Magallana gigas,1,,4,L,15,2,2.94
Magallana gigas,1,,4,W,15,2,1.62
Magallana gigas,1,,5,L,15,2,2.251
Magallana gigas,1,,5,W,15,2,1.402
Magallana gigas,1,,1,L,15,3,2.718
Magallana gigas,1,,1,W,15,3,1.751
Magallana gigas,1,,2,L,15,3,2.666
Magallana gigas,1,,2,W,15,3,1.732
Magallana gigas,1,,3,L,15,3,2.392
Magallana gigas,1,,3,W,15,3,1.906
Magallana gigas,1,,4,L,15,3,2.322
Magallana gigas,1,,4,W,15,3,1.896
Magallana gigas,1,,5,L,15,3,2.474
Magallana gigas,1,,5,W,15,3,1.511
Magallana gigas,1,,1,L,15,4,2.516
Magallana gigas,1,,1,W,15,4,1.558
Magallana gigas,1,,2,L,15,4,2.623
Magallana gigas,1,,2,W,15,4,1.354
Magallana gigas,1,,3,L,15,4,2.523
Magallana gigas,1,,3,W,15,4,1.526
Magallana gigas,1,,4,L,15,4,3.215
Magallana gigas,1,,4,W,15,4,1.538
Magallana gigas,1,,5,L,15,4,3.006
Magallana gigas,1,,5,W,15,4,1.487
Magallana gigas,1,,1,L,15,5,2.516
Magallana gigas,1,,1,W,15,5,1.895
Magallana gigas,1,,2,L,15,5,2.922
Magallana gigas,1,,2,W,15,5,1.743
Magallana gigas,1,,3,L,15,5,2.67
Magallana gigas,1,,3,W,15,5,1.854
Magallana gigas,1,,4,L,15,5,3.042
Magallana gigas,1,,4,W,15,5,1.738
Magallana gigas,1,,5,L,15,5,3.185
Magallana gigas,1,,5,W,15,5,1.713
Magallana gigas,1,,1,L,18,6,3.325
Magallana gigas,1,,1,W,18,6,1.803
Magallana gigas,1,,2,L,18,6,2.334
Magallana gigas,1,,2,W,18,6,2.006
Magallana gigas,1,,3,L,18,6,2.377
Magallana gigas,1,,3,W,18,6,1.734
Magallana gigas,1,,4,L,18,6,3.096
Magallana gigas,1,,4,W,18,6,1.589
Magallana gigas,1,,5,L,18,6,2.693
