Species,Day,Date,Rep,L_W,SH_Tide,SH_Temp,MHW,Tank,Size_cm
Magallana gigas,19,,1,L,Tide,15,15,1,2.845
Magallana gigas,19,,1,W,Tide,15,15,1,1.713
Magallana gigas,19,,2,L,Tide,15,15,1,2.953
Magallana gigas,19,,2,W,Tide,15,15,1,1.932
Magallana gigas,19,,3,L,Tide,15,15,1,2.55
Magallana gigas,19,,3,W,Tide,15,15,1,1.836
Magallana gigas,19,,4,L,Tide,15,15,1,2.756
Magallana gigas,19,,4,W,Tide,15,15,1,1.714
Magallana gigas,19,,5,L,Tide,15,15,1,2.179
Magallana gigas,19,,5,W,Tide,15,15,1,1.759
Magallana gigas,19,,6,L,Tide,15,15,1,2.347
Magallana gigas,19,,6,W,Tide,15,15,1,1.818
Magallana gigas,19,,7,L,Tide,15,15,1,2.103
Magallana gigas,19,,7,W,Tide,15,15,1,1.712
Magallana gigas,19,,8,L,Tide,15,15,1,2.654
Magallana gigas,19,,8,W,Tide,15,15,1,1.795
Magallana gigas,19,,9,L,Tide,15,15,1,2.304
Magallana gigas,19,,9,W,Tide,15,15,1,1.741
Magallana gigas,19,,10,L,Tide,15,15,1,2.482
Magallana gigas,19,,10,W,Tide,15,15,1,1.99
Magallana gigas,19,,1,L,Tide,21,15,1,3.121
Magallana gigas,19,,1,W,Tide,21,15,1,1.735
Magallana gigas,19,,2,L,Tide,21,15,1,2.299
Magallana gigas,19,,2,W,Tide,21,15,1,1.994
Magallana gigas,19,,3,L,Tide,21,15,1,3.229
Magallana gigas,19,,3,W,Tide,21,15,1,1.835
Magallana gigas,19,,4,L,Tide,21,15,1,2.387
Magallana gigas,19,,4,W,Tide,21,15,1,1.534
Magallana gigas,19,,5,L,Tide,21,15,1,2.771
Magallana gigas,19,,5,W,Tide,21,15,1,1.803
Magallana gigas,19,,6,L,Tide,21,15,1,2.428
Magallana gigas,19,,6,W,Tide,21,15,1,1.66
Magallana gigas,19,,7,L,Tide,21,15,1,3.299
Magallana gigas,19,,7,W,Tide,21,15,1,1.737
Magallana gigas,19,,8,L,Tide,21,15,1,2.237
Magallana gigas,19,,8,W,Tide,21,15,1,1.762
Magallana gigas,19,,9,L,Tide,21,15,1,2.874
Magallana gigas,19,,9,W,Tide,21,15,1,1.897
Magallana gigas,19,,10,L,Tide,21,15,1,2.046
Magallana gigas,19,,10,W,Tide,21,15,1,1.729
Magallana gigas,19,,1,L,No Tide,15,15,1,3.119
Magallana gigas,19,,1,W,No Tide,15,15,1,1.722
Magallana gigas,19,,2,L,No Tide,15,15,1,2.913
Magallana gigas,19,,2,W,No Tide,15,15,1,1.811
Magallana gigas,19,,3,L,No Tide,15,15,1,2.892
Magallana gigas,19,,3,W,No Tide,15,15,1,1.857
Magallana gigas,19,,4,L,No Tide,15,15,1,3.104
Magallana gigas,19,,4,W,No Tide,15,15,1,1.781
Magallana gigas,19,,5,L,No Tide,15,15,1,2.442
Magallana gigas,19,,5,W,No Tide,15,15,1,1.725
Magallana gigas,19,,6,L,No Tide,15,15,1,2.781
Magallana gigas,19,,6,W,No Tide,15,15,1,1.783
Magallana gigas,19,,7,L,No Tide,15,15,1,2.673
Magallana gigas,19,,7,W,No Tide,15,15,1,1.637
Magallana gigas,19,,8,L,No Tide,15,15,1,3.099
Magallana gigas,19,,8,W,No Tide,15,15,1,1.899
Magallana gigas,19,,9,L,No Tide,15,15,1,3
Magallana gigas,19,,9,W,No Tide,15,15,1,1.549
Magallana gigas,19,,10,L,No Tide,15,15,1,2.499
Magallana gigas,19,,10,W,No Tide,15,15,1,1.998
Magallana gigas,19,,1,L,No Tide,21,15,1,3.222
Magallana gigas,19,,1,W,No Tide,21,15,1,2.248
Magallana gigas,19,,2,L,No Tide,21,15,1,2.585
Magallana gigas,19,,2,W,No Tide,21,15,1,1.915
Magallana gigas,19,,3,L,No Tide,21,15,1,3.242
Magallana gigas,19,,3,W,No Tide,21,15,1,1.765
Magallana gigas,19,,4,L,No Tide,21,15,1,2.464
Magallana gigas,19,,4,W,No Tide,21,15,1,1.978
Magallana gigas,19,,5,L,No Tide,21,15,1,2.529
Magallana gigas,19,,5,W,No Tide,21,15,1,1.817
