Species,Day,Date,Rep,SH_Tide,SH_Temp,MHW,Tank,L,W
Magallana gigas,19,NA,1,Tide,15,15,1,2.845,1.713
Magallana gigas,19,NA,2,Tide,15,15,1,2.953,1.932
Magallana gigas,19,NA,3,Tide,15,15,1,2.55,1.836
Magallana gigas,19,NA,4,Tide,15,15,1,2.756,1.714
Magallana gigas,19,NA,5,Tide,15,15,1,2.179,1.759
Magallana gigas,19,NA,6,Tide,15,15,1,2.347,1.818
Magallana gigas,19,NA,7,Tide,15,15,1,2.103,1.712
Magallana gigas,19,NA,8,Tide,15,15,1,2.654,1.795
Magallana gigas,19,NA,9,Tide,15,15,1,2.304,1.741
Magallana gigas,19,NA,10,Tide,15,15,1,2.482,1.99
Magallana gigas,19,NA,1,Tide,21,15,1,3.121,1.735
Magallana gigas,19,NA,2,Tide,21,15,1,2.299,1.994
Magallana gigas,19,NA,3,Tide,21,15,1,3.229,1.835
Magallana gigas,19,NA,4,Tide,21,15,1,2.387,1.534
Magallana gigas,19,NA,5,Tide,21,15,1,2.771,1.803
Magallana gigas,19,NA,6,Tide,21,15,1,2.428,1.66
Magallana gigas,19,NA,7,Tide,21,15,1,3.299,1.737
Magallana gigas,19,NA,8,Tide,21,15,1,2.237,1.762
Magallana gigas,19,NA,9,Tide,21,15,1,2.874,1.897
Magallana gigas,19,NA,10,Tide,21,15,1,2.046,1.729
Magallana gigas,19,NA,1,No Tide,15,15,1,3.119,1.722
Magallana gigas,19,NA,2,No Tide,15,15,1,2.913,1.811
Magallana gigas,19,NA,3,No Tide,15,15,1,2.892,1.857
Magallana gigas,19,NA,4,No Tide,15,15,1,3.104,1.781
Magallana gigas,19,NA,5,No Tide,15,15,1,2.442,1.725
Magallana gigas,19,NA,6,No Tide,15,15,1,2.781,1.783
Magallana gigas,19,NA,7,No Tide,15,15,1,2.673,1.637
Magallana gigas,19,NA,8,No Tide,15,15,1,3.099,1.899
Magallana gigas,19,NA,9,No Tide,15,15,1,3,1.549
Magallana gigas,19,NA,10,No Tide,15,15,1,2.499,1.998
