Species,Day,Date,Rep,MHW,Tank,L,W
Magallana gigas,1,NA,1,15,1,2.449,1.742
Magallana gigas,1,NA,2,15,1,2.942,1.863
Magallana gigas,1,NA,3,15,1,2.448,1.675
Magallana gigas,1,NA,4,15,1,2.673,1.658
Magallana gigas,1,NA,5,15,1,2.401,1.76
Magallana gigas,1,NA,1,15,2,2.842,1.766
Magallana gigas,1,NA,2,15,2,2.883,1.731
Magallana gigas,1,NA,3,15,2,3.426,1.841
Magallana gigas,1,NA,4,15,2,2.94,1.62
Magallana gigas,1,NA,5,15,2,2.251,1.402
Magallana gigas,1,NA,1,15,3,2.718,1.751
Magallana gigas,1,NA,2,15,3,2.666,1.732
Magallana gigas,1,NA,3,15,3,2.392,1.906
Magallana gigas,1,NA,4,15,3,2.322,1.896
Magallana gigas,1,NA,5,15,3,2.474,1.511
Magallana gigas,1,NA,1,15,4,2.516,1.558
Magallana gigas,1,NA,2,15,4,2.623,1.354
Magallana gigas,1,NA,3,15,4,2.523,1.526
Magallana gigas,1,NA,4,15,4,3.215,1.538
Magallana gigas,1,NA,5,15,4,3.006,1.487
Magallana gigas,1,NA,1,15,5,2.516,1.895
Magallana gigas,1,NA,2,15,5,2.922,1.743
Magallana gigas,1,NA,3,15,5,2.67,1.854
Magallana gigas,1,NA,4,15,5,3.042,1.738
Magallana gigas,1,NA,5,15,5,3.185,1.713
Magallana gigas,1,NA,1,18,6,3.325,1.803
Magallana gigas,1,NA,2,18,6,2.334,2.006
Magallana gigas,1,NA,3,18,6,2.377,1.734
Magallana gigas,1,NA,4,18,6,3.096,1.589
Magallana gigas,1,NA,5,18,6,2.693,1.73
Magallana gigas,1,NA,1,18,7,2.59,1.565
Magallana gigas,1,NA,2,18,7,2.42,1.664
Magallana gigas,1,NA,3,18,7,2.527,1.76
Magallana gigas,1,NA,4,18,7,3.071,1.827
Magallana gigas,1,NA,5,18,7,2.175,2.061
Magallana gigas,1,NA,1,18,8,2.774,2.132
Magallana gigas,1,NA,2,18,8,2.851,1.599
Magallana gigas,1,NA,3,18,8,2.376,1.656
Magallana gigas,1,NA,4,18,8,2.666,1.617
Magallana gigas,1,NA,5,18,8,2.394,1.84
Magallana gigas,1,NA,1,18,9,2.048,1.739
Magallana gigas,1,NA,2,18,9,2.716,1.712
Magallana gigas,1,NA,3,18,9,2.833,1.588
Magallana gigas,1,NA,4,18,9,2.881,1.904
Magallana gigas,1,NA,5,18,9,2.58,1.805
Magallana gigas,1,NA,1,18,10,2.432,1.856
Magallana gigas,1,NA,2,18,10,2.674,1.624
Magallana gigas,1,NA,3,18,10,2.579,1.773
Magallana gigas,1,NA,4,18,10,1.928,1.858
Magallana gigas,1,NA,5,18,10,2.607,1.668
Magallana gigas,1,NA,1,24,11,2.467,1.815
Magallana gigas,1,NA,2,24,11,2.762,1.792
Magallana gigas,1,NA,3,24,11,2.741,1.604
Magallana gigas,1,NA,4,24,11,2.657,1.661
Magallana gigas,1,NA,5,24,11,1.916,1.546
Magallana gigas,1,NA,1,24,12,2.501,1.846
Magallana gigas,1,NA,2,24,12,1.86,1.908
Magallana gigas,1,NA,3,24,12,2.658,1.682
Magallana gigas,1,NA,4,24,12,2.345,1.61
Magallana gigas,1,NA,5,24,12,2.441,1.795
Magallana gigas,1,NA,1,24,13,2.67,1.933
Magallana gigas,1,NA,2,24,13,2.945,1.886
Magallana gigas,1,NA,3,24,13,2.27,1.838
Magallana gigas,1,NA,4,24,13,2.335,1.923
Magallana gigas,1,NA,5,24,13,2.565,1.951
Magallana gigas,1,NA,1,24,14,2.5,1.821
Magallana gigas,1,NA,2,24,14,2.993,1.795
Magallana gigas,1,NA,3,24,14,2.826,1.792
Magallana gigas,1,NA,4,24,14,2.189,1.88
Magallana gigas,1,NA,5,24,14,2.953,1.919
Magallana gigas,1,NA,1,24,15,2.289,1.839
Magallana gigas,1,NA,2,24,15,2.276,1.679
Magallana gigas,1,NA,3,24,15,2.831,1.855
Magallana gigas,1,NA,4,24,15,2.006,1.826
Magallana gigas,1,NA,5,24,15,2.185,1.824
Magallana gigas,1,NA,1,21,16,2.397,1.726
Magallana gigas,1,NA,2,21,16,2.487,1.783
Magallana gigas,1,NA,3,21,16,2.655,1.633
Magallana gigas,1,NA,4,21,16,2.675,1.718
Magallana gigas,1,NA,5,21,16,2.569,1.724
Magallana gigas,1,NA,1,21,17,2.203,1.801
Magallana gigas,1,NA,2,21,17,2.765,1.588
Magallana gigas,1,NA,3,21,17,2.913,1.928
Magallana gigas,1,NA,4,21,17,2.634,1.924
Magallana gigas,1,NA,5,21,17,2.712,1.808
Magallana gigas,1,NA,1,21,18,2.58,2.166
Magallana gigas,1,NA,2,21,18,2.52,1.763
Magallana gigas,1,NA,3,21,18,3.11,1.754
Magallana gigas,1,NA,4,21,18,2.959,1.671
Magallana gigas,1,NA,5,21,18,2.785,1.615
Magallana gigas,1,NA,1,21,19,3.347,1.699
Magallana gigas,1,NA,2,21,19,2.538,1.856
Magallana gigas,1,NA,3,21,19,2.589,1.678
Magallana gigas,1,NA,4,21,19,2.706,1.906
Magallana gigas,1,NA,5,21,19,2.551,1.941
Magallana gigas,1,NA,1,21,20,2.357,1.916
Magallana gigas,1,NA,2,21,20,2.481,1.876
Magallana gigas,1,NA,3,21,20,2.34,1.587
Magallana gigas,1,NA,4,21,20,2.614,1.701
Magallana gigas,1,NA,5,21,20,2.955,1.8
