Species,Bag_Color,Tank,MHW,SH_Tide,SH_Temp,Rep,Well_Plate,Slot,Weigh_Boat_g,B_S_T_g,B_S_g,Shell_g,Tissue_g,Shell.mg,Tissue.mg,CI,Notes
Ostrea lurida,Yellow,20,21˚C,No Tide,15˚C,5,7,B5,0.0174,0.028,0.0272,0.0098,0.0008,9.8,0.8,8.163,
Ostrea lurida,Yellow,20,21˚C,No Tide,15˚C,3,7,B3,0.0205,0.0408,0.0393,0.0188,0.0015,18.8,1.5,7.979,
Ostrea lurida,Yellow,20,21˚C,No Tide,15˚C,6,7,B6,0.0215,0.0376,0.0365,0.015,0.0011,15,1.1,7.333,
Ostrea lurida,Yellow,20,21˚C,No Tide,15˚C,7,7,B7,0.0182,0.0358,0.0346,0.0164,0.0012,16.4,1.2,7.317,
Ostrea lurida,Yellow,20,21˚C,No Tide,15˚C,9,7,B9,0.0178,0.0253,0.0248,0.007,0.0005,7,0.5,7.143,
Ostrea lurida,Yellow,20,21˚C,No Tide,15˚C,10,7,B10,0.0196,0.0557,0.0536,0.034,0.0021,34,2.1,6.176,
Ostrea lurida,Yellow,20,21˚C,No Tide,15˚C,2,7,B2,0.0197,0.0354,0.0345,0.0148,0.0009,14.8,0.9,6.081,
Ostrea lurida,Yellow,20,21˚C,No Tide,15˚C,8,7,B8,0.0238,0.0403,0.0394,0.0156,0.0009,15.6,0.9,5.769,
Ostrea lurida,Yellow,20,21˚C,No Tide,15˚C,1,7,B1,0.0182,0.0333,0.0325,0.0143,0.0008,14.3,0.8,5.594,
Ostrea lurida,Yellow,20,21˚C,No Tide,15˚C,4,7,B4,0.0255,0.0343,0.0339,0.0084,0.0004,8.4,0.4,4.762,
Ostrea lurida,Yellow,20,21˚C,No Tide,21˚C,3,7,C1,0.0176,0.0333,0.032,0.0144,0.0013,14.4,1.3,9.028,
Ostrea lurida,Yellow,20,21˚C,No Tide,21˚C,10,7,C8,0.0165,0.0254,0.0247,0.0082,0.0007,8.2,0.7,8.537,
Ostrea lurida,Yellow,20,21˚C,No Tide,21˚C,5,7,C3,0.0183,0.0304,0.0295,0.0112,0.0009,11.2,0.9,8.036,
Ostrea lurida,Yellow,20,21˚C,No Tide,21˚C,2,7,B12,0.0175,0.028,0.0273,0.0098,0.0007,9.8,0.7,7.143,
Ostrea lurida,Yellow,20,21˚C,No Tide,21˚C,6,7,C4,0.0194,0.0279,0.0274,0.008,0.0005,8,0.5,6.250,
Ostrea lurida,Yellow,20,21˚C,No Tide,21˚C,8,7,C6,0.021,0.0363,0.0354,0.0144,0.0009,14.4,0.9,6.250,
Ostrea lurida,Yellow,20,21˚C,No Tide,21˚C,1,7,B11,0.0163,0.0396,0.0383,0.022,0.0013,22,1.3,5.909,
Ostrea lurida,Yellow,20,21˚C,No Tide,21˚C,7,7,C5,0.0242,0.0446,0.0436,0.0194,0.001,19.4,1,5.155,
Ostrea lurida,Yellow,20,21˚C,No Tide,21˚C,9,7,C7,0.0156,0.0415,0.0404,0.0248,0.0011,24.8,1.1,4.435,
Ostrea lurida,Yellow,20,21˚C,No Tide,21˚C,4,7,C2,0.0185,0.0265,0.0262,0.0077,0.0003,7.7,0.3,3.896,
Ostrea lurida,Yellow,20,21˚C,Tide,15˚C,3,6,H7,0.0192,0.0284,0.0275,0.0083,0.0009,8.3,0.9,10.843,
Ostrea lurida,Yellow,20,21˚C,Tide,15˚C,9,7,A1,0.0155,0.0264,0.0255,0.01,0.0009,10,0.9,9.000,
Ostrea lurida,Yellow,20,21˚C,Tide,15˚C,2,6,H6,0.02,0.0301,0.0293,0.0093,0.0008,9.3,0.8,8.602,
Ostrea lurida,Yellow,20,21˚C,Tide,15˚C,10,7,A2,0.0235,0.0364,0.0354,0.0119,0.001,11.9,1,8.403,
Ostrea lurida,Yellow,20,21˚C,Tide,15˚C,1,6,H5,0.0189,0.0302,0.0294,0.0105,0.0008,10.5,0.8,7.619,
Ostrea lurida,Yellow,20,21˚C,Tide,15˚C,6,6,H10,0.0197,0.0346,0.0336,0.0139,0.001,13.9,1,7.194,
Ostrea lurida,Yellow,20,21˚C,Tide,15˚C,4,6,H8,0.0196,0.0398,0.0385,0.0189,0.0013,18.9,1.3,6.878,
