Species,Bag_Color,Tank,MHW,SH_Tide,SH_Temp,Rep,Well_Plate,Slot,Weigh_Boat_g,B_S_T_g,B_S_g,Shell_g,Tissue_g,Shell.mg,Tissue.mg,CI,Notes
Ostrea lurida,Yellow,2,15,Tide,15,1,1,D5,0.0172,0.0239,0.0235,0.0063,4e-4,6.3,0.4,6.349,NA
Ostrea lurida,Yellow,2,15,Tide,15,2,1,D6,0.0176,0.0264,0.026,0.0084,4e-4,8.4,0.4,4.762,NA
Ostrea lurida,Yellow,2,15,Tide,15,3,1,D7,0.0155,0.0255,0.0249,0.0094,6e-4,9.4,0.6,6.383,NA
Ostrea lurida,Yellow,2,15,Tide,15,4,1,D8,0.0185,0.0322,0.0315,0.013,7e-4,13,0.7,5.385,NA
Ostrea lurida,Yellow,2,15,Tide,15,5,1,D9,0.0166,0.027,0.0265,0.0099,5e-4,9.9,0.5,5.051,NA
Ostrea lurida,Yellow,2,15,Tide,15,6,1,D10,0.0171,0.0285,0.0273,0.0102,0.0012,10.2,1.2,11.765,NA
Ostrea lurida,Yellow,2,15,Tide,15,7,1,D11,0.0203,0.0316,0.0308,0.0105,8e-4,10.5,0.8,7.619,NA
Ostrea lurida,Yellow,2,15,Tide,15,8,1,D12,0.0196,0.0325,0.0314,0.0118,0.0011,11.8,1.1,9.322,NA
Ostrea lurida,Yellow,2,15,Tide,15,9,1,E1,0.0167,0.0319,0.0316,0.0149,3e-4,14.9,0.3,2.013,NA
Ostrea lurida,Yellow,2,15,Tide,15,10,1,E2,0.0173,0.0375,0.0361,0.0188,0.0014,18.8,1.4,7.447,NA
Ostrea lurida,Yellow,2,15,Tide,21,1,1,E3,0.0183,0.0318,0.031,0.0127,8e-4,12.7,0.8,6.299,NA
Ostrea lurida,Yellow,2,15,Tide,21,2,1,E4,0.0242,0.0446,0.0435,0.0193,0.0011,19.3,1.1,5.699,NA
Ostrea lurida,Yellow,2,15,Tide,21,3,1,E5,0.0192,0.0259,0.0254,0.0062,5e-4,6.2,0.5,8.065,NA
Ostrea lurida,Yellow,2,15,Tide,21,4,1,E6,0.0205,0.0319,0.0312,0.0107,7e-4,10.7,0.7,6.542,NA
Ostrea lurida,Yellow,2,15,Tide,21,5,1,E7,0.021,0.038,0.0372,0.0162,8e-4,16.2,0.8,4.938,NA
Ostrea lurida,Yellow,2,15,Tide,21,6,1,E8,0.0197,0.0262,0.0259,0.0062,3e-4,6.2,0.3,4.839,NA
Ostrea lurida,Yellow,2,15,Tide,21,7,1,E9,0.0172,0.0409,0.0397,0.0225,0.0012,22.5,1.2,5.333,NA
Ostrea lurida,Yellow,2,15,Tide,21,8,1,E10,0.0208,0.0424,0.0414,0.0206,0.001,20.6,1,4.854,NA
Ostrea lurida,Yellow,2,15,Tide,21,9,1,E11,0.0156,0.021,0.0207,0.0051,3e-4,5.1,0.3,5.882,NA
Ostrea lurida,Yellow,2,15,Tide,21,10,1,E12,0.0162,0.0224,0.0219,0.0057,5e-4,5.7,0.5,8.772,NA
Ostrea lurida,Yellow,2,15,No Tide,15,1,1,F1,0.0178,0.0279,0.0272,0.0094,7e-4,9.4,0.7,7.447,NA
Ostrea lurida,Yellow,2,15,No Tide,15,2,1,F2,0.0227,0.0371,0.0362,0.0135,9e-4,13.5,0.9,6.667,NA
Ostrea lurida,Yellow,2,15,No Tide,15,3,1,F3,0.0171,0.0303,0.0294,0.0123,9e-4,12.3,0.9,7.317,NA
Ostrea lurida,Yellow,2,15,No Tide,15,4,1,F4,0.0184,0.0338,0.0328,0.0144,0.001,14.4,1,6.944,NA
Ostrea lurida,Yellow,2,15,No Tide,15,5,1,F5,0.0162,0.0328,0.0318,0.0156,0.001,15.6,1,6.41,NA
Ostrea lurida,Yellow,2,15,No Tide,15,6,1,F6,0.015,0.0302,0.0295,0.0145,7e-4,14.5,0.7,4.828,NA
Ostrea lurida,Yellow,2,15,No Tide,15,7,1,F7,0.0171,0.0309,0.03,0.0129,9e-4,12.9,0.9,6.977,NA
Ostrea lurida,Yellow,2,15,No Tide,15,8,1,F8,0.0193,0.0427,0.041,0.0217,0.0017,21.7,1.7,7.834,NA
Ostrea lurida,Yellow,2,15,No Tide,15,9,1,F9,0.018,0.0435,0.0421,0.0241,0.0014,24.1,1.4,5.809,NA
