Species,Day,Date,Rep,L_W,SH_Tide,SH_Temp,MHW,Tank,Size_mm
Ostrea lurida,19,,7,W,Tide,15,15,5,3.032
Ostrea lurida,19,,7,W,No Tide,15,15,3,3.119
Ostrea lurida,19,,9,W,No Tide,15,15,1,3.259
Ostrea lurida,19,,10,W,No Tide,15,15,1,3.303
Ostrea lurida,19,,3,W,Tide,15,15,4,3.639
Ostrea lurida,19,,8,W,No Tide,15,15,5,3.686
Ostrea lurida,19,,1,W,Tide,15,15,2,3.86
Ostrea lurida,19,,7,W,Tide,15,15,2,3.93
Ostrea lurida,19,,9,W,Tide,15,15,5,3.935
Ostrea lurida,19,,10,W,No Tide,15,15,3,3.938
Ostrea lurida,19,,5,W,Tide,15,15,3,3.983
Ostrea lurida,19,,9,W,Tide,15,15,4,4.028
Ostrea lurida,19,,10,W,Tide,15,15,5,4.068
Ostrea lurida,19,,10,W,Tide,15,15,3,4.075
Ostrea lurida,19,,6,W,Tide,15,15,2,4.1
Ostrea lurida,19,,1,W,Tide,15,15,1,4.13
Ostrea lurida,19,,2,W,Tide,15,15,1,4.173
Ostrea lurida,19,,4,W,Tide,15,15,4,4.187
Ostrea lurida,19,,2,W,Tide,15,15,2,4.217
Ostrea lurida,19,,2,L,Tide,15,15,1,4.251
Ostrea lurida,19,,5,W,No Tide,15,15,5,4.276
Ostrea lurida,19,,5,W,No Tide,15,15,1,4.289
Ostrea lurida,19,,2,W,Tide,15,15,5,4.295
Ostrea lurida,19,,7,L,No Tide,15,15,3,4.335
Ostrea lurida,19,,9,W,Tide,15,15,3,4.411
Ostrea lurida,19,,10,W,No Tide,15,15,4,4.414
Ostrea lurida,19,,4,W,No Tide,15,15,4,4.471
Ostrea lurida,19,,8,W,No Tide,15,15,1,4.478
Ostrea lurida,19,,5,W,No Tide,15,15,4,4.485
Ostrea lurida,19,,5,W,Tide,15,15,4,4.525
Ostrea lurida,19,,1,W,No Tide,15,15,2,4.535
Ostrea lurida,19,,9,W,No Tide,15,15,5,4.562
Ostrea lurida,19,,8,W,No Tide,15,15,4,4.6
Ostrea lurida,19,,9,W,No Tide,15,15,4,4.625
Ostrea lurida,19,,7,W,Tide,15,15,1,4.656
Ostrea lurida,19,,5,W,Tide,15,15,5,4.685
Ostrea lurida,19,,4,W,No Tide,15,15,3,4.7
Ostrea lurida,19,,9,L,Tide,15,15,5,4.703
Ostrea lurida,19,,7,W,No Tide,15,15,5,4.798
Ostrea lurida,19,,1,W,Tide,15,15,5,4.805
Ostrea lurida,19,,8,L,No Tide,15,15,5,4.863
Ostrea lurida,19,,1,W,No Tide,15,15,4,4.874
Ostrea lurida,19,,8,W,Tide,15,15,3,4.894
Ostrea lurida,19,,10,L,Tide,15,15,5,4.916
Ostrea lurida,19,,4,W,No Tide,15,15,5,4.943
Ostrea lurida,19,,10,L,No Tide,15,15,1,4.944
Ostrea lurida,19,,5,L,Tide,15,15,5,4.969
Ostrea lurida,19,,5,W,Tide,15,15,1,5.023
Ostrea lurida,19,,3,W,No Tide,15,15,3,5.088
Ostrea lurida,19,,2,W,No Tide,15,15,3,5.116
Ostrea lurida,19,,2,L,Tide,15,15,5,5.122
Ostrea lurida,19,,3,W,No Tide,15,15,5,5.124
Ostrea lurida,19,,3,W,Tide,15,15,5,5.139
Ostrea lurida,19,,9,L,No Tide,15,15,1,5.192
Ostrea lurida,19,,10,W,No Tide,15,15,2,5.199
Ostrea lurida,19,,9,W,Tide,15,15,1,5.238
Ostrea lurida,19,,3,L,Tide,15,15,4,5.253
Ostrea lurida,19,,1,L,Tide,15,15,2,5.272
Ostrea lurida,19,,5,W,Tide,15,15,2,5.277
Ostrea lurida,19,,5,L,Tide,15,15,4,5.283
Ostrea lurida,19,,6,W,Tide,15,15,1,5.286
Ostrea lurida,19,,2,W,Tide,15,15,4,5.34
Ostrea lurida,19,,7,W,No Tide,15,15,2,5.373
Ostrea lurida,19,,5,L,Tide,15,15,1,5.397
Ostrea lurida,19,,1,W,No Tide,15,15,1,5.405
Ostrea lurida,19,,3,W,Tide,15,15,2,5.459
Ostrea lurida,19,,2,W,No Tide,15,15,1,5.493
Ostrea lurida,19,,2,W,No Tide,15,15,4,5.54
Ostrea lurida,19,,8,W,No Tide,15,15,3,5.566
Ostrea lurida,19,,3,W,No Tide,15,15,2,5.576
Ostrea lurida,19,,10,W,No Tide,15,15,5,5.598
Ostrea lurida,19,,8,L,No Tide,15,15,1,5.602
Ostrea lurida,19,,8,L,No Tide,15,15,4,5.614
Ostrea lurida,19,,2,W,No Tide,15,15,2,5.642
Ostrea lurida,19,,8,W,Tide,15,15,2,5.652
Ostrea lurida,19,,4,L,Tide,15,15,4,5.657
Ostrea lurida,19,,10,W,Tide,15,15,4,5.665
Ostrea lurida,19,,2,W,Tide,15,15,3,5.666
Ostrea lurida,19,,2,L,No Tide,15,15,3,5.676
Ostrea lurida,19,,7,W,No Tide,15,15,4,5.676
Ostrea lurida,19,,7,L,Tide,15,15,5,5.687
Ostrea lurida,19,,1,W,Tide,15,15,3,5.694
Ostrea lurida,19,,4,L,Tide,15,15,2,5.746
Ostrea lurida,19,,6,W,Tide,15,15,5,5.747
Ostrea lurida,19,,3,W,Tide,15,15,1,5.756
Ostrea lurida,19,,9,L,No Tide,15,15,5,5.768
Ostrea lurida,19,,6,W,Tide,15,15,3,5.787
Ostrea lurida,19,,9,L,Tide,15,15,1,5.797
Ostrea lurida,19,,5,L,Tide,15,15,3,5.8
Ostrea lurida,19,,6,W,No Tide,15,15,4,5.807
Ostrea lurida,19,,4,W,Tide,15,15,2,5.848
Ostrea lurida,19,,1,L,No Tide,15,15,2,5.857
Ostrea lurida,19,,9,L,Tide,15,15,4,5.917
Ostrea lurida,19,,2,L,Tide,15,15,2,5.944
Ostrea lurida,19,,10,L,No Tide,15,15,4,5.971
Ostrea lurida,19,,6,W,No Tide,15,15,2,6.004
Ostrea lurida,19,,9,W,No Tide,15,15,3,6.004
Ostrea lurida,19,,9,L,Tide,15,15,2,6.015
Ostrea lurida,19,,10,L,Tide,15,15,4,6.028
Ostrea lurida,19,,5,W,No Tide,15,15,3,6.045
Ostrea lurida,19,,7,L,No Tide,15,15,5,6.049
Ostrea lurida,19,,10,L,Tide,15,15,1,6.085
Ostrea lurida,19,,3,W,No Tide,15,15,4,6.141
Ostrea lurida,19,,8,W,Tide,15,15,5,6.144
Ostrea lurida,19,,9,L,No Tide,15,15,4,6.161
Ostrea lurida,19,,2,W,No Tide,15,15,5,6.169
Ostrea lurida,19,,10,W,Tide,15,15,1,6.171
Ostrea lurida,19,,10,L,No Tide,15,15,2,6.249
Ostrea lurida,19,,9,L,Tide,15,15,3,6.267
Ostrea lurida,19,,4,W,Tide,15,15,3,6.271
Ostrea lurida,19,,5,L,No Tide,15,15,5,6.284
Ostrea lurida,19,,3,L,Tide,15,15,2,6.289
Ostrea lurida,19,,1,W,Tide,15,15,4,6.294
Ostrea lurida,19,,5,L,No Tide,15,15,3,6.363
Ostrea lurida,19,,10,L,No Tide,15,15,3,6.376
Ostrea lurida,19,,9,W,Tide,15,15,2,6.377
Ostrea lurida,19,,7,L,Tide,15,15,2,6.381
Ostrea lurida,19,,7,W,No Tide,15,15,1,6.39
Ostrea lurida,19,,3,W,No Tide,15,15,1,6.423
Ostrea lurida,19,,4,L,No Tide,15,15,5,6.444
Ostrea lurida,19,,8,L,Tide,15,15,3,6.468
Ostrea lurida,19,,5,W,No Tide,15,15,2,6.471
Ostrea lurida,19,,4,L,Tide,15,15,5,6.512
Ostrea lurida,19,,8,W,Tide,15,15,4,6.565
Ostrea lurida,19,,8,L,Tide,15,15,5,6.683
Ostrea lurida,19,,7,L,Tide,15,15,1,6.708
Ostrea lurida,19,,3,W,Tide,15,15,3,6.716
Ostrea lurida,19,,2,L,Tide,15,15,4,6.732
Ostrea lurida,19,,10,L,Tide,15,15,3,6.779
Ostrea lurida,19,,6,L,Tide,15,15,5,6.79
Ostrea lurida,19,,6,W,No Tide,15,15,3,6.81
Ostrea lurida,19,,6,L,Tide,15,15,2,6.827
Ostrea lurida,19,,5,L,No Tide,15,15,1,6.84
Ostrea lurida,19,,4,W,No Tide,15,15,1,6.847
Ostrea lurida,19,,1,L,Tide,15,15,1,6.851
Ostrea lurida,19,,5,L,No Tide,15,15,4,6.864
Ostrea lurida,19,,1,W,No Tide,15,15,3,6.89
Ostrea lurida,19,,4,W,Tide,15,15,5,6.9
Ostrea lurida,19,,10,W,Tide,15,15,2,6.932
Ostrea lurida,19,,6,L,No Tide,15,15,2,6.934
Ostrea lurida,19,,9,L,No Tide,15,15,3,6.946
Ostrea lurida,19,,8,W,No Tide,15,15,2,6.948
Ostrea lurida,19,,3,L,No Tide,15,15,1,7.092
Ostrea lurida,19,,4,L,No Tide,15,15,3,7.119
Ostrea lurida,19,,1,L,No Tide,15,15,1,7.123
Ostrea lurida,19,,1,L,Tide,15,15,3,7.133
Ostrea lurida,19,,5,L,Tide,15,15,2,7.134
Ostrea lurida,19,,3,L,No Tide,15,15,2,7.139
Ostrea lurida,19,,8,L,Tide,15,15,4,7.178
Ostrea lurida,19,,3,L,No Tide,15,15,3,7.185
Ostrea lurida,19,,6,W,Tide,15,15,4,7.211
Ostrea lurida,19,,7,W,Tide,15,15,4,7.231
Ostrea lurida,19,,7,W,Tide,15,15,3,7.238
Ostrea lurida,19,,6,L,No Tide,15,15,4,7.297
Ostrea lurida,19,,6,W,No Tide,15,15,5,7.31
Ostrea lurida,19,,2,L,No Tide,15,15,4,7.333
Ostrea lurida,19,,3,L,No Tide,15,15,4,7.338
Ostrea lurida,19,,1,L,No Tide,15,15,4,7.415
Ostrea lurida,19,,3,L,Tide,15,15,3,7.428
Ostrea lurida,19,,4,W,No Tide,15,15,2,7.444
Ostrea lurida,19,,3,L,Tide,15,15,5,7.445
Ostrea lurida,19,,7,L,No Tide,15,15,4,7.474
Ostrea lurida,19,,7,L,No Tide,15,15,2,7.513
Ostrea lurida,19,,1,L,Tide,15,15,4,7.515
Ostrea lurida,19,,1,L,No Tide,15,15,5,7.531
Ostrea lurida,19,,1,L,Tide,15,15,5,7.571
Ostrea lurida,19,,7,L,No Tide,15,15,1,7.586
Ostrea lurida,19,,4,W,Tide,15,15,1,7.617
Ostrea lurida,19,,4,L,No Tide,15,15,2,7.618
Ostrea lurida,19,,10,L,Tide,15,15,2,7.623
Ostrea lurida,19,,8,L,Tide,15,15,2,7.653
Ostrea lurida,19,,2,L,No Tide,15,15,1,7.654
Ostrea lurida,19,,10,L,No Tide,15,15,5,7.674
Ostrea lurida,19,,3,L,No Tide,15,15,5,7.692
Ostrea lurida,19,,4,L,Tide,15,15,1,7.855
Ostrea lurida,19,,7,L,Tide,15,15,4,7.859
Ostrea lurida,19,,4,L,No Tide,15,15,4,7.907
Ostrea lurida,19,,5,L,No Tide,15,15,2,7.95
Ostrea lurida,19,,6,L,Tide,15,15,4,8.001
Ostrea lurida,19,,6,L,Tide,15,15,3,8.012
Ostrea lurida,19,,8,L,No Tide,15,15,3,8.012
Ostrea lurida,19,,4,L,Tide,15,15,3,8.172
Ostrea lurida,19,,6,L,No Tide,15,15,5,8.186
Ostrea lurida,19,,6,L,No Tide,15,15,3,8.345
Ostrea lurida,19,,9,W,No Tide,15,15,2,8.375
Ostrea lurida,19,,2,L,No Tide,15,15,5,8.434
Ostrea lurida,19,,3,L,Tide,15,15,1,8.439
Ostrea lurida,19,,2,L,No Tide,15,15,2,8.468
Ostrea lurida,19,,7,L,Tide,15,15,3,8.584
Ostrea lurida,19,,9,L,No Tide,15,15,2,8.599
Ostrea lurida,19,,6,W,No Tide,15,15,1,8.614
Ostrea lurida,19,,1,W,No Tide,15,15,5,8.62
Ostrea lurida,19,,6,L,No Tide,15,15,1,8.736
Ostrea lurida,19,,2,L,Tide,15,15,3,8.752
Ostrea lurida,19,,1,L,No Tide,15,15,3,8.876
Ostrea lurida,19,,8,L,No Tide,15,15,2,9.11
Ostrea lurida,19,,4,L,No Tide,15,15,1,9.217
Ostrea lurida,19,,8,L,Tide,15,15,1,9.331
Ostrea lurida,19,,6,L,Tide,15,15,1,10.068
Ostrea lurida,19,,8,W,Tide,15,15,1,10.275
Ostrea lurida,19,,9,W,Tide,15,18,9,3.304
Ostrea lurida,19,,4,W,No Tide,15,18,9,3.322
Ostrea lurida,19,,6,W,No Tide,15,18,6,3.342
Ostrea lurida,19,,7,W,Tide,15,18,7,3.36
Ostrea lurida,19,,4,W,Tide,15,18,10,3.372
Ostrea lurida,19,,5,W,No Tide,15,18,10,3.42
Ostrea lurida,19,,4,L,No Tide,15,18,9,3.47
Ostrea lurida,19,,9,W,No Tide,15,18,7,3.497
Ostrea lurida,19,,2,W,No Tide,15,18,9,3.594
Ostrea lurida,19,,2,W,No Tide,15,18,10,3.639
Ostrea lurida,19,,8,W,Tide,15,18,6,3.71
Ostrea lurida,19,,3,W,No Tide,15,18,7,3.726
Ostrea lurida,19,,8,W,Tide,15,18,7,3.82
Ostrea lurida,19,,2,W,Tide,15,18,6,3.829
Ostrea lurida,19,,7,W,No Tide,15,18,10,3.842
Ostrea lurida,19,,7,W,No Tide,15,18,6,3.863
Ostrea lurida,19,,3,W,Tide,15,18,10,3.904
Ostrea lurida,19,,2,L,No Tide,15,18,10,3.969
Ostrea lurida,19,,10,W,Tide,15,18,7,4.025
Ostrea lurida,19,,9,W,Tide,15,18,10,4.048
Ostrea lurida,19,,8,W,No Tide,15,18,10,4.062
Ostrea lurida,19,,5,L,No Tide,15,18,10,4.085
Ostrea lurida,19,,6,W,Tide,15,18,6,4.086
Ostrea lurida,19,,2,W,No Tide,15,18,7,4.205
Ostrea lurida,19,,1,W,No Tide,15,18,7,4.211
Ostrea lurida,19,,3,L,No Tide,15,18,7,4.217
Ostrea lurida,19,,5,W,Tide,15,18,9,4.219
Ostrea lurida,19,,5,W,No Tide,15,18,7,4.229
Ostrea lurida,19,,7,W,No Tide,15,18,9,4.239
Ostrea lurida,19,,7,L,Tide,15,18,7,4.244
Ostrea lurida,19,,5,W,No Tide,15,18,9,4.25
Ostrea lurida,19,,9,W,No Tide,15,18,6,4.284
Ostrea lurida,19,,4,W,Tide,15,18,6,4.306
Ostrea lurida,19,,9,W,No Tide,15,18,9,4.329
Ostrea lurida,19,,1,W,Tide,15,18,6,4.347
Ostrea lurida,19,,8,W,No Tide,15,18,9,4.358
Ostrea lurida,19,,8,L,Tide,15,18,7,4.385
Ostrea lurida,19,,6,W,Tide,15,18,10,4.395
Ostrea lurida,19,,2,L,No Tide,15,18,9,4.418
Ostrea lurida,19,,10,L,Tide,15,18,10,4.424
Ostrea lurida,19,,9,W,Tide,15,18,8,4.441
Ostrea lurida,19,,10,W,Tide,15,18,8,4.491
Ostrea lurida,19,,2,L,No Tide,15,18,7,4.496
Ostrea lurida,19,,3,W,Tide,15,18,9,4.508
Ostrea lurida,19,,10,W,Tide,15,18,10,4.541
Ostrea lurida,19,,4,W,Tide,15,18,7,4.546
Ostrea lurida,19,,3,W,Tide,15,18,6,4.556
Ostrea lurida,19,,3,W,No Tide,15,18,10,4.591
Ostrea lurida,19,,9,L,Tide,15,18,9,4.614
Ostrea lurida,19,,8,L,Tide,15,18,6,4.625
Ostrea lurida,19,,3,W,Tide,15,18,7,4.64
Ostrea lurida,19,,3,L,Tide,15,18,9,4.642
Ostrea lurida,19,,4,W,No Tide,15,18,6,4.645
Ostrea lurida,19,,7,W,Tide,15,18,10,4.667
Ostrea lurida,19,,5,W,Tide,15,18,10,4.698
Ostrea lurida,19,,2,L,Tide,15,18,7,4.71
Ostrea lurida,19,,8,L,No Tide,15,18,10,4.728
Ostrea lurida,19,,10,W,Tide,15,18,9,4.793
Ostrea lurida,19,,6,L,No Tide,15,18,6,4.804
Ostrea lurida,19,,2,L,Tide,15,18,9,4.806
Ostrea lurida,19,,2,W,Tide,15,18,10,4.822
Ostrea lurida,19,,5,W,Tide,15,18,7,4.858
Ostrea lurida,19,,4,L,Tide,15,18,10,4.892
Ostrea lurida,19,,3,W,No Tide,15,18,6,4.907
Ostrea lurida,19,,1,W,No Tide,15,18,9,4.91
Ostrea lurida,19,,6,L,No Tide,15,18,10,4.934
Ostrea lurida,19,,7,L,No Tide,15,18,10,4.944
Ostrea lurida,19,,4,W,No Tide,15,18,10,4.945
Ostrea lurida,19,,4,W,Tide,15,18,9,4.965
Ostrea lurida,19,,9,L,No Tide,15,18,7,4.968
Ostrea lurida,19,,5,W,No Tide,15,18,6,4.986
Ostrea lurida,19,,2,L,Tide,15,18,10,4.99
Ostrea lurida,19,,8,W,Tide,15,18,9,4.993
Ostrea lurida,19,,8,W,No Tide,15,18,6,5.005
Ostrea lurida,19,,6,W,No Tide,15,18,9,5.01
Ostrea lurida,19,,1,W,Tide,15,18,9,5.016
Ostrea lurida,19,,6,W,Tide,15,18,7,5.025
Ostrea lurida,19,,9,W,Tide,15,18,7,5.045
Ostrea lurida,19,,3,W,No Tide,15,18,9,5.057
Ostrea lurida,19,,2,W,Tide,15,18,7,5.086
Ostrea lurida,19,,7,W,No Tide,15,18,7,5.11
Ostrea lurida,19,,1,W,No Tide,15,18,10,5.12
Ostrea lurida,19,,7,L,No Tide,15,18,9,5.132
Ostrea lurida,19,,2,W,Tide,15,18,9,5.169
Ostrea lurida,19,,7,W,Tide,15,18,6,5.183
Ostrea lurida,19,,9,W,No Tide,15,18,10,5.208
Ostrea lurida,19,,10,W,No Tide,15,18,9,5.248
Ostrea lurida,19,,4,L,Tide,15,18,9,5.254
Ostrea lurida,19,,2,W,No Tide,15,18,8,5.265
Ostrea lurida,19,,9,L,Tide,15,18,7,5.274
Ostrea lurida,19,,6,W,No Tide,15,18,10,5.297
Ostrea lurida,19,,3,L,No Tide,15,18,6,5.309
Ostrea lurida,19,,9,L,No Tide,15,18,9,5.341
Ostrea lurida,19,,1,W,Tide,15,18,7,5.367
Ostrea lurida,19,,8,W,No Tide,15,18,7,5.372
Ostrea lurida,19,,1,L,No Tide,15,18,9,5.378
Ostrea lurida,19,,10,W,No Tide,15,18,7,5.394
Ostrea lurida,19,,4,L,Tide,15,18,7,5.41
Ostrea lurida,19,,7,L,No Tide,15,18,6,5.459
Ostrea lurida,19,,2,W,No Tide,15,18,6,5.463
Ostrea lurida,19,,1,W,No Tide,15,18,8,5.464
Ostrea lurida,19,,6,W,Tide,15,18,9,5.514
Ostrea lurida,19,,5,L,No Tide,15,18,9,5.517
Ostrea lurida,19,,8,W,Tide,15,18,10,5.536
Ostrea lurida,19,,10,W,Tide,15,18,6,5.541
Ostrea lurida,19,,3,L,Tide,15,18,10,5.559
Ostrea lurida,19,,8,L,No Tide,15,18,6,5.571
Ostrea lurida,19,,9,L,Tide,15,18,8,5.627
Ostrea lurida,19,,8,L,No Tide,15,18,9,5.638
Ostrea lurida,19,,5,L,No Tide,15,18,7,5.643
Ostrea lurida,19,,6,W,Tide,15,18,8,5.67
Ostrea lurida,19,,10,L,No Tide,15,18,7,5.709
