Species,Day,Date,Rep,SH_Tide,SH_Temp,MHW,Tank,W,L
Ostrea lurida,19,NA,8,No Tide,21,15,1,2.487,3.632
Ostrea lurida,19,NA,3,Tide,21,15,1,2.679,3.814
Ostrea lurida,19,NA,7,No Tide,21,18,7,2.706,4.084
Ostrea lurida,19,NA,3,Tide,21,18,6,2.765,4.056
Ostrea lurida,19,NA,5,Tide,15,21,17,2.857,3.989
Ostrea lurida,19,NA,8,No Tide,21,15,4,2.924,4.031
Ostrea lurida,19,NA,6,No Tide,15,24,15,2.98,4.039
Ostrea lurida,19,NA,7,Tide,15,15,5,3.032,5.687
Ostrea lurida,19,NA,7,Tide,21,24,14,3.069,3.271
Ostrea lurida,19,NA,5,No Tide,21,18,8,3.075,4.96
Ostrea lurida,19,NA,9,No Tide,21,18,10,3.082,3.94
Ostrea lurida,19,NA,9,No Tide,21,24,11,3.088,4.581
Ostrea lurida,19,NA,7,No Tide,15,15,3,3.119,4.335
Ostrea lurida,19,NA,10,No Tide,21,24,11,3.12,4.069
Ostrea lurida,19,NA,7,Tide,21,24,11,3.131,5.052
Ostrea lurida,19,NA,6,Tide,21,15,1,3.152,4.9
Ostrea lurida,19,NA,5,No Tide,15,21,18,3.169,4.907
Ostrea lurida,19,NA,7,No Tide,21,21,19,3.192,5.269
Ostrea lurida,19,NA,1,No Tide,15,21,17,3.23,5.11
Ostrea lurida,19,NA,3,No Tide,21,24,12,3.238,4.631
Ostrea lurida,19,NA,6,Tide,21,24,11,3.24,4.226
Ostrea lurida,19,NA,9,Tide,21,18,7,3.241,4.626
Ostrea lurida,19,NA,9,No Tide,15,15,1,3.259,5.192
Ostrea lurida,19,NA,6,No Tide,21,18,10,3.259,5.255
Ostrea lurida,19,NA,10,No Tide,15,15,1,3.303,4.944
Ostrea lurida,19,NA,9,Tide,15,18,9,3.304,4.614
Ostrea lurida,19,NA,4,No Tide,15,18,9,3.322,3.47
Ostrea lurida,19,NA,1,Tide,21,15,5,3.33,4.495
Ostrea lurida,19,NA,6,Tide,21,21,17,3.334,4.711
Ostrea lurida,19,NA,6,No Tide,15,18,6,3.342,4.804
Ostrea lurida,19,NA,10,Tide,21,18,9,3.346,4.636
Ostrea lurida,19,NA,1,Tide,15,21,17,3.358,4.408
Ostrea lurida,19,NA,7,Tide,15,18,7,3.36,4.244
