Species,Date,Treatment,SH_Temp,SH_Tide,L/W,Size_cm
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,L,3.005
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,W,2.566
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,L,2.478
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,W,2.639
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,L,3.197
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,W,2.655
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,L,2.821
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,W,2.608
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,L,2.548
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,W,2.461
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,L,2.709
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,W,2.745
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,L,3.095
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,W,2.859
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,L,1.966
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,W,1.886
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,L,2.636
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,W,2.813
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,L,2.87
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,W,2.201
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,L,2.194
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,W,2.078
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,L,2.763
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,W,2.225
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,L,2.167
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,W,1.898
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,L,2.431
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,W,2.036
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,L,3.189
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,W,2.571
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,L,2.751
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,W,3.024
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,L,2.369
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,W,2.293
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,L,2.476
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,W,1.942
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,L,2.18
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,W,2.691
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,L,2.659
Ostrealurida,12/20/2022,15-NT,15?C,No Tide,W,2.864
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,L,2.594
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,W,2.036
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,L,2.922
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,W,2.594
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,L,2.909
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,W,2.336
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,L,3.015
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,W,2.428
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,L,3.14
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,W,2.167
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,L,2.12
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,W,1.992
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,L,2.876
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,W,2.207
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,L,2.71
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,W,2.016
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,L,2.961
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,W,2.005
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,L,2.737
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,W,1.945
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,L,2.584
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,W,2.266
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,L,3.109
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,W,1.965
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,L,2.781
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,W,2.025
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,L,2.912
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,W,2.01
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,L,3.077
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,W,1.83
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,L,3
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,W,2.22
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,L,3.169
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,W,2.463
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,L,2.67
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,W,1.736
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,L,2.883
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,W,2.236
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,L,2.573
Ostrealurida,12/20/2022,21-NT,21?C,No Tide,W,1.918
