Species,Day,Date,Rep,Batch,Tank,L,W
Ostrea lurida,1,NA,1,A: 15/21,1,6.253,5.331
Ostrea lurida,1,NA,2,A: 15/21,1,5.214,5.306
Ostrea lurida,1,NA,3,A: 15/21,1,3.452,3.051
Ostrea lurida,1,NA,4,A: 15/21,1,8.216,6.207
Ostrea lurida,1,NA,5,A: 15/21,1,6.581,7.311
Ostrea lurida,1,NA,6,A: 15/21,1,6.85,5.69
Ostrea lurida,1,NA,7,A: 15/21,1,6.642,7.07
Ostrea lurida,1,NA,8,A: 15/21,1,5.698,4.722
Ostrea lurida,1,NA,9,A: 15/21,1,6.681,6.284
Ostrea lurida,1,NA,10,A: 15/21,1,5.333,4.516
Ostrea lurida,1,NA,1,B: 18/24,1,6.43,5.06
Ostrea lurida,1,NA,2,B: 18/24,1,7.439,5.707
Ostrea lurida,1,NA,3,B: 18/24,1,7.071,6.075
Ostrea lurida,1,NA,4,B: 18/24,1,6.322,5.245
Ostrea lurida,1,NA,5,B: 18/24,1,7.895,5.738
Ostrea lurida,1,NA,6,B: 18/24,1,6.521,6.851
Ostrea lurida,1,NA,7,B: 18/24,1,5.167,2.722
Ostrea lurida,1,NA,8,B: 18/24,1,7.527,5.867
Ostrea lurida,1,NA,9,B: 18/24,1,6.81,5.791
Ostrea lurida,1,NA,10,B: 18/24,1,3.989,3.174
Ostrea lurida,1,NA,1,A: 15/21,2,5.303,3.106
Ostrea lurida,1,NA,2,A: 15/21,2,6.166,6.999
Ostrea lurida,1,NA,3,A: 15/21,2,6.083,5.131
Ostrea lurida,1,NA,4,A: 15/21,2,2.945,2.375
Ostrea lurida,1,NA,5,A: 15/21,2,5.602,5.012
Ostrea lurida,1,NA,6,A: 15/21,2,7.46,6.283
Ostrea lurida,1,NA,7,A: 15/21,2,5.758,4.772
Ostrea lurida,1,NA,8,A: 15/21,2,6.83,5.959
Ostrea lurida,1,NA,9,A: 15/21,2,5.149,5.598
Ostrea lurida,1,NA,10,A: 15/21,2,5.353,4.188
