Species,Bag_Color,SH_Temp,SH_Tide,MHW,Expt_Count,CI_Count,Mort_Total
Ostrea lurida,Yellow,15,No Tide,15,0,0,0
Ostrea lurida,Yellow,15,No Tide,18,0,0,0
Ostrea lurida,Yellow,15,No Tide,21,0,0,0
Ostrea lurida,Yellow,15,No Tide,24,0,0,0
Ostrea lurida,Yellow,15,Tide,15,0,0,0
Ostrea lurida,Yellow,15,Tide,18,0,0,0
Ostrea lurida,Yellow,15,Tide,21,0,2,2
Ostrea lurida,Yellow,15,Tide,24,0,1,1
Ostrea lurida,Yellow,21,No Tide,15,0,0,0
Ostrea lurida,Yellow,21,No Tide,18,0,0,0
Ostrea lurida,Yellow,21,No Tide,21,0,1,1
Ostrea lurida,Yellow,21,No Tide,24,0,1,1
Ostrea lurida,Yellow,21,Tide,15,0,0,0
Ostrea lurida,Yellow,21,Tide,18,0,0,0
Ostrea lurida,Yellow,21,Tide,21,0,0,0
Ostrea lurida,Yellow,21,Tide,24,0,0,0
