Species,Bag_Color,Tank,MHW,SH_Tide,SH_Temp,Rep,Well_Plate,Slot,Weigh_Boat_g,B_S_T_g,B_S_g,Shell_g,Tissue_g,Shell.mg,Tissue.mg,CI
Ostrea lurida,Yellow,9,18,Tide,21,9,4,E3,0.0133,0.0212,0.0205,0.0072,7e-4,7.2,0.7,9.722
Ostrea lurida,Yellow,9,18,Tide,15,3,4,C11,0.0158,0.0232,0.0217,0.0059,0.0015,5.9,1.5,25.424
Ostrea lurida,Yellow,8,18,Tide,15,10,4,A2,0.0169,0.0399,0.035,0.0181,0.0049,18.1,4.9,27.072
Ostrea lurida,Yellow,6,18,Tide,21,2,3,B8,0.0175,0.0341,0.0336,0.0161,5e-4,16.1,0.5,3.106
Ostrea lurida,Yellow,8,18,Tide,15,9,4,A1,0.0136,0.022,0.0216,0.008,4e-4,8,0.4,5
Ostrea lurida,Yellow,12,24,No Tide,21,1,5,H3,0.0166,0.0407,0.0366,0.02,0.0041,20,4.1,20.5
Ostrea lurida,Yellow,8,18,No Tide,21,10,4,C8,0.0224,0.0317,0.0298,0.0074,0.0019,7.4,1.9,25.676
Ostrea lurida,Yellow,8,18,Tide,15,5,3,H9,0.0115,0.0325,0.0314,0.0199,0.0011,19.9,1.1,5.528
Ostrea lurida,Yellow,12,24,Tide,21,10,5,G4,0.0157,0.0415,0.0408,0.0251,7e-4,25.1,0.7,2.789
Ostrea lurida,Yellow,9,18,Tide,21,10,4,E4,0.0221,0.0266,0.0263,0.0042,3e-4,4.2,0.3,7.143
Ostrea lurida,Yellow,9,18,Tide,15,2,4,C10,0.0137,0.0217,0.0199,0.0062,0.0018,6.2,1.8,29.032
Ostrea lurida,Yellow,9,18,Tide,21,8,4,E2,0.0168,0.0247,0.0241,0.0073,6e-4,7.3,0.6,8.219
Ostrea lurida,Yellow,12,24,Tide,21,9,5,G3,0.0172,0.0267,0.024,0.0068,0.0027,6.8,2.7,39.706
Ostrea lurida,Yellow,8,18,No Tide,21,4,4,C2,0.0128,0.019,0.0182,0.0054,8e-4,5.4,0.8,14.815
Ostrea lurida,Yellow,8,18,Tide,21,1,4,A3,0.0179,0.0306,0.0271,0.0092,0.0035,9.2,3.5,38.043
Ostrea lurida,Yellow,10,18,Tide,15,1,4,G1,0.0226,0.0489,0.0423,0.0197,0.0066,19.7,6.6,33.503
Ostrea lurida,Yellow,8,18,No Tide,21,3,4,C1,0.0131,0.0323,0.0275,0.0144,0.0048,14.4,4.8,33.333
Ostrea lurida,Yellow,11,24,Tide,21,10,5,C12,0.0173,0.0246,0.0229,0.0056,0.0017,5.6,1.7,30.357
Ostrea lurida,Yellow,8,18,No Tide,15,6,4,B6,0.0178,0.0322,0.029,0.0112,0.0032,11.2,3.2,28.571
Ostrea lurida,Yellow,17,21,Tide,15,7,5,F11,0.0174,0.022,0.0211,0.0037,9e-4,3.7,0.9,24.324
Ostrea lurida,Yellow,9,18,Tide,21,6,4,D12,0.0129,0.0326,0.0289,0.016,0.0037,16,3.7,23.125
Ostrea lurida,Yellow,12,24,Tide,21,6,5,F12,0.013,0.0451,0.0391,0.0261,0.006,26.1,6,22.989
Ostrea lurida,Yellow,9,18,Tide,15,4,4,C12,0.0164,0.0283,0.0261,0.0097,0.0022,9.7,2.2,22.68
Ostrea lurida,Yellow,9,18,Tide,15,8,4,D4,0.0135,0.0307,0.0276,0.0141,0.0031,14.1,3.1,21.986
Ostrea lurida,Yellow,12,24,No Tide,15,1,5,G5,0.0139,0.0447,0.0394,0.0255,0.0053,25.5,5.3,20.784
Ostrea lurida,Yellow,8,18,No Tide,15,5,4,B5,0.0148,0.0364,0.0327,0.0179,0.0037,17.9,3.7,20.67
Ostrea lurida,Yellow,4,15,Tide,21,9,2,D7,0.0207,0.0344,0.0321,0.0114,0.0023,11.4,2.3,20.175
Ostrea lurida,Yellow,9,18,Tide,15,9,4,D5,0.0251,0.0308,0.0299,0.0048,9e-4,4.8,0.9,18.75
Ostrea lurida,Yellow,9,18,No Tide,15,9,4,F1,0.0166,0.0265,0.025,0.0084,0.0015,8.4,1.5,17.857
Ostrea lurida,Yellow,11,24,Tide,21,9,5,C11,0.0151,0.027,0.0252,0.0101,0.0018,10.1,1.8,17.822
Ostrea lurida,Yellow,11,24,Tide,21,4,5,C6,0.0192,0.0403,0.0373,0.0181,0.003,18.1,3,16.575
Ostrea lurida,Yellow,11,24,Tide,21,8,5,C10,0.0184,0.0264,0.0253,0.0069,0.0011,6.9,1.1,15.942
Ostrea lurida,Yellow,8,18,Tide,21,9,4,A11,0.0255,0.0428,0.0405,0.015,0.0023,15,2.3,15.333
Ostrea lurida,Yellow,8,18,No Tide,21,1,4,B11,0.0131,0.0407,0.0371,0.024,0.0036,24,3.6,15
Ostrea lurida,Yellow,8,18,No Tide,21,6,4,C4,0.0134,0.032,0.0296,0.0162,0.0024,16.2,2.4,14.815
Ostrea lurida,Yellow,19,21,No Tide,21,10,6,H4,0.0197,0.0467,0.0433,0.0236,0.0034,23.6,3.4,14.407
Ostrea lurida,Yellow,19,21,No Tide,15,4,6,F12,0.0203,0.032,0.0306,0.0103,0.0014,10.3,1.4,13.592
Ostrea lurida,Yellow,10,18,Tide,15,2,4,G2,0.0201,0.0336,0.032,0.0119,0.0016,11.9,1.6,13.445
Ostrea lurida,Yellow,18,21,Tide,15,9,6,B5,0.0223,0.0436,0.0411,0.0188,0.0025,18.8,2.5,13.298
Ostrea lurida,Yellow,15,24,No Tide,15,6,5,A10,0.0191,0.0251,0.0244,0.0053,7e-4,5.3,0.7,13.208
Ostrea lurida,Yellow,6,18,No Tide,21,3,3,D5,0.0247,0.0386,0.037,0.0123,0.0016,12.3,1.6,13.008
Ostrea lurida,Yellow,10,18,No Tide,15,1,4,H9,0.019,0.0253,0.0246,0.0056,7e-4,5.6,0.7,12.5
Ostrea lurida,Yellow,15,24,Tide,15,9,5,H5,0.0192,0.0292,0.0281,0.0089,0.0011,8.9,1.1,12.36
Ostrea lurida,Yellow,11,24,No Tide,21,10,5,E8,0.0218,0.0273,0.0267,0.0049,6e-4,4.9,0.6,12.245
Ostrea lurida,Yellow,7,18,No Tide,21,7,3,H1,0.0208,0.0264,0.0258,0.005,6e-4,5,0.6,12
Ostrea lurida,Yellow,9,18,No Tide,15,6,4,E10,0.0137,0.0278,0.0263,0.0126,0.0015,12.6,1.5,11.905
Ostrea lurida,Yellow,8,18,No Tide,21,2,4,B12,0.0188,0.05,0.0467,0.0279,0.0033,27.9,3.3,11.828
Ostrea lurida,Yellow,2,15,Tide,15,6,1,D10,0.0171,0.0285,0.0273,0.0102,0.0012,10.2,1.2,11.765
Ostrea lurida,Yellow,11,24,No Tide,15,8,5,D8,0.0253,0.0396,0.0381,0.0128,0.0015,12.8,1.5,11.719
