Species,SH_Temp,SH_Tide,Tank,Oyster_Numb,Mortality,D_A,MHW_Set,Experiment_Day,Date
O_lurida,15,No Tide,1,1,1,Dead,15_21,6,3/1/2022
O_lurida,15,No Tide,1,2,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,3,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,4,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,5,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,6,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,7,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,8,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,9,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,10,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,11,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,12,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,13,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,14,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,15,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,16,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,17,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,18,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,19,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,20,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,21,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,22,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,23,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,24,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,25,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,26,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,27,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,28,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,29,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,30,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,31,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,32,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,33,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,34,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,35,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,36,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,37,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,38,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,39,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,40,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,1,41,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,42,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,43,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,44,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,45,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,46,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,47,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,48,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,49,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,50,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,51,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,52,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,53,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,54,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,55,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,56,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,57,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,58,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,59,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,60,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,61,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,62,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,63,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,64,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,65,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,66,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,67,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,68,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,69,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,70,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,71,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,72,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,73,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,74,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,75,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,76,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,77,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,78,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,79,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,1,80,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,1,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,2,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,3,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,4,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,5,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,6,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,7,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,8,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,9,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,10,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,11,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,12,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,13,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,14,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,15,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,16,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,17,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,18,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,19,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,20,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,21,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,22,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,23,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,24,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,25,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,26,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,27,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,28,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,29,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,30,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,31,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,32,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,33,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,34,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,35,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,36,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,37,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,38,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,39,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,40,0,Alive,15_21,NA,NA
O_lurida,15,No Tide,2,41,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,42,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,43,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,44,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,45,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,46,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,47,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,48,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,49,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,50,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,51,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,52,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,53,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,54,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,55,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,56,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,57,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,58,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,59,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,60,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,61,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,62,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,63,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,64,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,65,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,66,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,67,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,68,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,69,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,70,0,Alive,18_24,NA,NA
O_lurida,15,No Tide,2,71,0,Alive,18_24,NA,NA
