Species,SH_Temp,SH_Tide,MHW,Tank,Oyster_Numb,Mortality,D_A
O_lurida,15,No Tide,15,1,1,0,Alive
O_lurida,15,No Tide,15,1,2,0,Alive
O_lurida,15,No Tide,15,1,3,0,Alive
O_lurida,15,No Tide,15,1,4,0,Alive
O_lurida,15,No Tide,15,1,5,0,Alive
O_lurida,15,No Tide,15,1,6,0,Alive
O_lurida,15,No Tide,15,1,7,0,Alive
O_lurida,15,No Tide,15,1,8,0,Alive
O_lurida,15,No Tide,15,1,9,0,Alive
O_lurida,15,No Tide,15,1,10,0,Alive
O_lurida,15,No Tide,15,1,11,0,Alive
O_lurida,15,No Tide,15,1,12,0,Alive
O_lurida,15,No Tide,15,1,13,0,Alive
O_lurida,15,No Tide,15,1,14,0,Alive
O_lurida,15,No Tide,15,1,15,0,Alive
O_lurida,15,No Tide,15,1,16,0,Alive
O_lurida,15,No Tide,15,1,17,0,Alive
O_lurida,15,No Tide,15,1,18,0,Alive
O_lurida,15,No Tide,15,1,19,0,Alive
O_lurida,15,No Tide,15,1,20,0,Alive
O_lurida,15,Tide,15,1,1,0,Alive
O_lurida,15,Tide,15,1,2,0,Alive
O_lurida,15,Tide,15,1,3,0,Alive
O_lurida,15,Tide,15,1,4,0,Alive
O_lurida,15,Tide,15,1,5,0,Alive
O_lurida,15,Tide,15,1,6,0,Alive
O_lurida,15,Tide,15,1,7,0,Alive
O_lurida,15,Tide,15,1,8,0,Alive
O_lurida,15,Tide,15,1,9,0,Alive
O_lurida,15,Tide,15,1,10,0,Alive
O_lurida,15,Tide,15,1,11,0,Alive
O_lurida,15,Tide,15,1,12,0,Alive
O_lurida,15,Tide,15,1,13,0,Alive
O_lurida,15,Tide,15,1,14,0,Alive
O_lurida,15,Tide,15,1,15,0,Alive
O_lurida,15,Tide,15,1,16,0,Alive
O_lurida,15,Tide,15,1,17,0,Alive
O_lurida,15,Tide,15,1,18,0,Alive
O_lurida,15,Tide,15,1,19,0,Alive
O_lurida,15,Tide,15,1,20,0,Alive
O_lurida,21,Tide,15,1,1,0,Alive
O_lurida,21,Tide,15,1,2,0,Alive
O_lurida,21,Tide,15,1,3,0,Alive
O_lurida,21,Tide,15,1,4,0,Alive
O_lurida,21,Tide,15,1,5,0,Alive
O_lurida,21,Tide,15,1,6,0,Alive
O_lurida,21,Tide,15,1,7,0,Alive
O_lurida,21,Tide,15,1,8,0,Alive
O_lurida,21,Tide,15,1,9,0,Alive
O_lurida,21,Tide,15,1,10,0,Alive
O_lurida,21,Tide,15,1,11,0,Alive
O_lurida,21,Tide,15,1,12,0,Alive
O_lurida,21,Tide,15,1,13,0,Alive
O_lurida,21,Tide,15,1,14,0,Alive
O_lurida,21,Tide,15,1,15,0,Alive
O_lurida,21,Tide,15,1,16,0,Alive
O_lurida,21,Tide,15,1,17,0,Alive
O_lurida,21,Tide,15,1,18,0,Alive
O_lurida,21,Tide,15,1,19,0,Alive
O_lurida,21,Tide,15,1,20,0,Alive
O_lurida,21,No Tide,15,1,1,0,Alive
O_lurida,21,No Tide,15,1,2,0,Alive
O_lurida,21,No Tide,15,1,3,0,Alive
O_lurida,21,No Tide,15,1,4,0,Alive
O_lurida,21,No Tide,15,1,5,0,Alive
O_lurida,21,No Tide,15,1,6,0,Alive
O_lurida,21,No Tide,15,1,7,0,Alive
O_lurida,21,No Tide,15,1,8,0,Alive
O_lurida,21,No Tide,15,1,9,0,Alive
O_lurida,21,No Tide,15,1,10,0,Alive
O_lurida,21,No Tide,15,1,11,0,Alive
O_lurida,21,No Tide,15,1,12,0,Alive
O_lurida,21,No Tide,15,1,13,0,Alive
O_lurida,21,No Tide,15,1,14,0,Alive
O_lurida,21,No Tide,15,1,15,0,Alive
O_lurida,21,No Tide,15,1,16,0,Alive
O_lurida,21,No Tide,15,1,17,0,Alive
O_lurida,21,No Tide,15,1,18,0,Alive
O_lurida,21,No Tide,15,1,19,0,Alive
O_lurida,21,No Tide,15,1,20,0,Alive
O_lurida,15,No Tide,15,2,1,0,Alive
O_lurida,15,No Tide,15,2,2,0,Alive
O_lurida,15,No Tide,15,2,3,0,Alive
O_lurida,15,No Tide,15,2,4,0,Alive
O_lurida,15,No Tide,15,2,5,0,Alive
O_lurida,15,No Tide,15,2,6,0,Alive
O_lurida,15,No Tide,15,2,7,0,Alive
O_lurida,15,No Tide,15,2,8,0,Alive
O_lurida,15,No Tide,15,2,9,0,Alive
O_lurida,15,No Tide,15,2,10,0,Alive
O_lurida,15,No Tide,15,2,11,0,Alive
O_lurida,15,No Tide,15,2,12,0,Alive
O_lurida,15,No Tide,15,2,13,0,Alive
O_lurida,15,No Tide,15,2,14,0,Alive
O_lurida,15,No Tide,15,2,15,0,Alive
O_lurida,15,No Tide,15,2,16,0,Alive
O_lurida,15,No Tide,15,2,17,0,Alive
O_lurida,15,No Tide,15,2,18,0,Alive
O_lurida,15,No Tide,15,2,19,0,Alive
O_lurida,15,No Tide,15,2,20,0,Alive
O_lurida,15,Tide,15,2,1,0,Alive
O_lurida,15,Tide,15,2,2,0,Alive
O_lurida,15,Tide,15,2,3,0,Alive
O_lurida,15,Tide,15,2,4,0,Alive
O_lurida,15,Tide,15,2,5,0,Alive
O_lurida,15,Tide,15,2,6,0,Alive
O_lurida,15,Tide,15,2,7,0,Alive
O_lurida,15,Tide,15,2,8,0,Alive
O_lurida,15,Tide,15,2,9,0,Alive
O_lurida,15,Tide,15,2,10,0,Alive
O_lurida,15,Tide,15,2,11,0,Alive
O_lurida,15,Tide,15,2,12,0,Alive
O_lurida,15,Tide,15,2,13,0,Alive
O_lurida,15,Tide,15,2,14,0,Alive
O_lurida,15,Tide,15,2,15,0,Alive
O_lurida,15,Tide,15,2,16,0,Alive
O_lurida,15,Tide,15,2,17,0,Alive
O_lurida,15,Tide,15,2,18,0,Alive
O_lurida,15,Tide,15,2,19,0,Alive
O_lurida,15,Tide,15,2,20,0,Alive
O_lurida,21,Tide,15,2,1,0,Alive
O_lurida,21,Tide,15,2,2,0,Alive
O_lurida,21,Tide,15,2,3,0,Alive
O_lurida,21,Tide,15,2,4,0,Alive
O_lurida,21,Tide,15,2,5,0,Alive
O_lurida,21,Tide,15,2,6,0,Alive
O_lurida,21,Tide,15,2,7,0,Alive
O_lurida,21,Tide,15,2,8,0,Alive
O_lurida,21,Tide,15,2,9,0,Alive
O_lurida,21,Tide,15,2,10,0,Alive
O_lurida,21,Tide,15,2,11,0,Alive
O_lurida,21,Tide,15,2,12,0,Alive
O_lurida,21,Tide,15,2,13,0,Alive
O_lurida,21,Tide,15,2,14,0,Alive
O_lurida,21,Tide,15,2,15,0,Alive
O_lurida,21,Tide,15,2,16,0,Alive
O_lurida,21,Tide,15,2,17,0,Alive
