Species,SH_Temp,SH_Tide,Oyster_Numb,Mortality,D_A
O_lurida,15,No Tide,1,1,Dead
O_lurida,15,No Tide,2,1,Dead
O_lurida,15,No Tide,3,1,Dead
O_lurida,15,No Tide,4,1,Dead
O_lurida,15,No Tide,5,1,Dead
O_lurida,15,No Tide,6,1,Dead
O_lurida,15,No Tide,7,1,Dead
O_lurida,15,No Tide,8,1,Dead
O_lurida,15,No Tide,9,1,Dead
O_lurida,15,No Tide,10,1,Dead
O_lurida,15,No Tide,11,1,Dead
O_lurida,15,No Tide,12,1,Dead
O_lurida,15,No Tide,13,1,Dead
O_lurida,15,No Tide,14,1,Dead
O_lurida,15,No Tide,15,1,Dead
O_lurida,15,No Tide,16,1,Dead
O_lurida,15,No Tide,17,1,Dead
O_lurida,15,No Tide,18,1,Dead
O_lurida,15,No Tide,19,1,Dead
O_lurida,15,No Tide,20,1,Dead
O_lurida,15,No Tide,21,1,Dead
O_lurida,15,No Tide,22,1,Dead
O_lurida,15,No Tide,23,1,Dead
O_lurida,15,No Tide,24,1,Dead
O_lurida,15,No Tide,25,1,Dead
O_lurida,15,No Tide,26,1,Dead
O_lurida,15,No Tide,27,1,Dead
O_lurida,15,No Tide,28,1,Dead
O_lurida,15,No Tide,29,1,Dead
O_lurida,15,No Tide,30,1,Dead
O_lurida,15,No Tide,31,1,Dead
O_lurida,15,No Tide,32,1,Dead
O_lurida,15,No Tide,33,1,Dead
O_lurida,15,No Tide,34,1,Dead
O_lurida,15,No Tide,35,1,Dead
O_lurida,15,No Tide,36,1,Dead
O_lurida,15,No Tide,37,1,Dead
O_lurida,15,No Tide,38,1,Dead
O_lurida,15,No Tide,39,1,Dead
O_lurida,15,No Tide,40,1,Dead
O_lurida,15,No Tide,41,1,Dead
O_lurida,15,No Tide,42,1,Dead
O_lurida,15,No Tide,43,1,Dead
O_lurida,15,No Tide,44,1,Dead
O_lurida,15,No Tide,45,1,Dead
O_lurida,15,No Tide,46,1,Dead
O_lurida,15,No Tide,47,1,Dead
O_lurida,15,No Tide,48,1,Dead
O_lurida,15,No Tide,49,1,Dead
O_lurida,15,No Tide,50,1,Dead
O_lurida,15,No Tide,51,1,Dead
O_lurida,15,No Tide,52,1,Dead
O_lurida,15,No Tide,53,1,Dead
O_lurida,15,No Tide,54,1,Dead
O_lurida,15,No Tide,55,1,Dead
O_lurida,15,No Tide,56,1,Dead
O_lurida,15,No Tide,57,1,Dead
O_lurida,15,No Tide,58,1,Dead
O_lurida,15,No Tide,59,1,Dead
O_lurida,15,No Tide,60,1,Dead
O_lurida,15,No Tide,61,1,Dead
O_lurida,15,No Tide,62,1,Dead
O_lurida,15,No Tide,63,1,Dead
O_lurida,15,No Tide,64,1,Dead
O_lurida,15,No Tide,65,1,Dead
O_lurida,15,No Tide,66,1,Dead
O_lurida,15,No Tide,67,1,Dead
O_lurida,15,No Tide,68,1,Dead
O_lurida,15,No Tide,69,1,Dead
O_lurida,15,No Tide,70,1,Dead
O_lurida,15,No Tide,71,1,Dead
O_lurida,15,No Tide,72,1,Dead
O_lurida,15,No Tide,73,1,Dead
O_lurida,15,No Tide,74,1,Dead
O_lurida,15,No Tide,75,1,Dead
O_lurida,15,No Tide,76,1,Dead
O_lurida,15,No Tide,77,1,Dead
O_lurida,15,No Tide,78,1,Dead
O_lurida,15,No Tide,79,1,Dead
O_lurida,15,No Tide,80,1,Dead
O_lurida,15,No Tide,81,1,Dead
O_lurida,15,No Tide,82,1,Dead
O_lurida,15,No Tide,83,1,Dead
O_lurida,15,No Tide,84,1,Dead
O_lurida,15,No Tide,85,1,Dead
O_lurida,15,No Tide,86,1,Dead
O_lurida,15,No Tide,87,1,Dead
O_lurida,15,No Tide,88,1,Dead
O_lurida,15,No Tide,89,1,Dead
O_lurida,15,No Tide,90,1,Dead
O_lurida,15,No Tide,91,1,Dead
O_lurida,15,No Tide,92,1,Dead
O_lurida,15,No Tide,93,1,Dead
O_lurida,15,No Tide,94,1,Dead
O_lurida,15,No Tide,95,1,Dead
O_lurida,15,No Tide,96,1,Dead
O_lurida,15,No Tide,97,1,Dead
O_lurida,15,No Tide,98,1,Dead
O_lurida,15,No Tide,99,1,Dead
O_lurida,15,No Tide,100,1,Dead
O_lurida,15,No Tide,101,1,Dead
O_lurida,15,No Tide,102,1,Dead
O_lurida,15,No Tide,103,1,Dead
O_lurida,15,No Tide,104,1,Dead
O_lurida,15,No Tide,105,1,Dead
O_lurida,15,No Tide,106,1,Dead
O_lurida,15,No Tide,107,1,Dead
O_lurida,15,No Tide,108,1,Dead
O_lurida,15,No Tide,109,1,Dead
O_lurida,15,No Tide,110,1,Dead
O_lurida,15,No Tide,111,1,Dead
O_lurida,15,No Tide,112,1,Dead
O_lurida,15,No Tide,113,1,Dead
O_lurida,15,No Tide,114,1,Dead
O_lurida,15,No Tide,115,1,Dead
O_lurida,15,No Tide,116,1,Dead
O_lurida,15,No Tide,117,1,Dead
O_lurida,15,No Tide,118,1,Dead
O_lurida,15,No Tide,119,1,Dead
O_lurida,15,No Tide,120,1,Dead
O_lurida,15,No Tide,121,1,Dead
O_lurida,15,No Tide,122,1,Dead
O_lurida,15,No Tide,123,1,Dead
O_lurida,15,No Tide,124,1,Dead
O_lurida,15,No Tide,125,1,Dead
O_lurida,15,No Tide,126,1,Dead
O_lurida,15,No Tide,127,1,Dead
O_lurida,15,No Tide,128,1,Dead
O_lurida,15,No Tide,129,1,Dead
O_lurida,15,No Tide,130,1,Dead
O_lurida,15,No Tide,131,1,Dead
O_lurida,15,No Tide,132,1,Dead
O_lurida,15,No Tide,133,1,Dead
O_lurida,15,No Tide,134,1,Dead
O_lurida,15,No Tide,135,1,Dead
O_lurida,15,No Tide,136,1,Dead
O_lurida,15,No Tide,137,1,Dead
O_lurida,15,No Tide,138,1,Dead
O_lurida,15,No Tide,139,1,Dead
O_lurida,15,No Tide,140,1,Dead
O_lurida,15,No Tide,141,1,Dead
O_lurida,15,No Tide,142,1,Dead
O_lurida,15,No Tide,143,1,Dead
O_lurida,15,No Tide,144,1,Dead
O_lurida,15,No Tide,145,1,Dead
O_lurida,15,No Tide,146,1,Dead
O_lurida,15,No Tide,147,1,Dead
O_lurida,15,No Tide,148,1,Dead
O_lurida,15,No Tide,149,1,Dead
O_lurida,15,No Tide,150,1,Dead
O_lurida,15,No Tide,151,1,Dead
O_lurida,15,No Tide,152,1,Dead
O_lurida,15,No Tide,153,1,Dead
O_lurida,15,No Tide,154,1,Dead
O_lurida,15,No Tide,155,1,Dead
O_lurida,15,No Tide,156,1,Dead
O_lurida,15,No Tide,157,1,Dead
O_lurida,15,No Tide,158,1,Dead
O_lurida,15,No Tide,159,1,Dead
O_lurida,15,No Tide,160,1,Dead
O_lurida,15,No Tide,161,1,Dead
O_lurida,15,No Tide,162,1,Dead
O_lurida,15,No Tide,163,1,Dead
O_lurida,15,No Tide,164,1,Dead
O_lurida,15,No Tide,165,1,Dead
O_lurida,15,No Tide,166,1,Dead
O_lurida,15,No Tide,167,1,Dead
O_lurida,15,No Tide,168,1,Dead
O_lurida,15,No Tide,169,1,Dead
O_lurida,15,No Tide,170,1,Dead
O_lurida,15,No Tide,171,1,Dead
O_lurida,15,No Tide,172,1,Dead
O_lurida,15,No Tide,173,1,Dead
O_lurida,15,No Tide,174,1,Dead
O_lurida,15,No Tide,175,1,Dead
O_lurida,15,No Tide,176,1,Dead
O_lurida,15,No Tide,177,1,Dead
O_lurida,15,No Tide,178,1,Dead
O_lurida,15,No Tide,179,1,Dead
O_lurida,15,No Tide,180,1,Dead
O_lurida,15,No Tide,181,1,Dead
O_lurida,15,No Tide,182,1,Dead
O_lurida,15,No Tide,183,1,Dead
O_lurida,15,No Tide,184,1,Dead
O_lurida,15,No Tide,185,1,Dead
O_lurida,15,No Tide,186,1,Dead
O_lurida,15,No Tide,187,1,Dead
O_lurida,15,No Tide,188,1,Dead
O_lurida,15,No Tide,189,1,Dead
O_lurida,15,No Tide,190,1,Dead
O_lurida,15,No Tide,191,1,Dead
O_lurida,15,No Tide,192,1,Dead
O_lurida,15,No Tide,193,1,Dead
O_lurida,15,No Tide,194,1,Dead
O_lurida,15,No Tide,195,1,Dead
O_lurida,15,No Tide,196,1,Dead
O_lurida,15,No Tide,197,1,Dead
O_lurida,15,No Tide,198,1,Dead
O_lurida,15,No Tide,199,1,Dead
O_lurida,15,No Tide,200,1,Dead
O_lurida,15,No Tide,201,1,Dead
O_lurida,15,No Tide,202,1,Dead
O_lurida,15,No Tide,203,1,Dead
O_lurida,15,No Tide,204,1,Dead
O_lurida,15,No Tide,205,1,Dead
O_lurida,15,No Tide,206,1,Dead
O_lurida,15,No Tide,207,1,Dead
O_lurida,15,No Tide,208,1,Dead
O_lurida,15,No Tide,209,1,Dead
O_lurida,15,No Tide,210,1,Dead
O_lurida,15,No Tide,211,1,Dead
O_lurida,15,No Tide,212,1,Dead
O_lurida,15,No Tide,213,1,Dead
O_lurida,15,No Tide,214,1,Dead
O_lurida,15,No Tide,215,1,Dead
O_lurida,15,No Tide,216,1,Dead
O_lurida,15,No Tide,217,1,Dead
O_lurida,15,No Tide,218,1,Dead
O_lurida,15,No Tide,219,1,Dead
O_lurida,15,No Tide,220,1,Dead
O_lurida,15,No Tide,221,1,Dead
O_lurida,15,No Tide,222,1,Dead
O_lurida,15,No Tide,223,1,Dead
O_lurida,15,No Tide,224,1,Dead
O_lurida,15,No Tide,225,1,Dead
O_lurida,15,No Tide,226,1,Dead
O_lurida,15,No Tide,227,1,Dead
O_lurida,15,No Tide,228,1,Dead
O_lurida,15,No Tide,229,1,Dead
O_lurida,15,No Tide,230,1,Dead
O_lurida,15,No Tide,231,1,Dead
O_lurida,15,No Tide,232,1,Dead
O_lurida,15,No Tide,233,1,Dead
O_lurida,15,No Tide,234,1,Dead
O_lurida,15,No Tide,235,1,Dead
O_lurida,15,No Tide,236,1,Dead
O_lurida,15,No Tide,237,1,Dead
O_lurida,15,No Tide,238,1,Dead
O_lurida,15,No Tide,239,1,Dead
O_lurida,15,No Tide,240,1,Dead
O_lurida,15,No Tide,241,1,Dead
O_lurida,15,No Tide,242,1,Dead
O_lurida,15,No Tide,243,1,Dead
O_lurida,15,No Tide,244,1,Dead
O_lurida,15,No Tide,245,1,Dead
O_lurida,15,No Tide,246,1,Dead
O_lurida,15,No Tide,247,1,Dead
O_lurida,15,No Tide,248,1,Dead
O_lurida,15,No Tide,249,1,Dead
O_lurida,15,No Tide,250,1,Dead
O_lurida,15,No Tide,251,1,Dead
O_lurida,15,No Tide,252,1,Dead
O_lurida,15,No Tide,253,1,Dead
O_lurida,15,No Tide,254,1,Dead
O_lurida,15,No Tide,255,1,Dead
O_lurida,15,No Tide,256,1,Dead
O_lurida,15,No Tide,257,1,Dead
O_lurida,15,No Tide,258,1,Dead
O_lurida,15,No Tide,259,1,Dead
O_lurida,15,No Tide,260,1,Dead
O_lurida,15,No Tide,261,1,Dead
O_lurida,15,No Tide,262,1,Dead
O_lurida,15,No Tide,263,1,Dead
O_lurida,15,No Tide,264,1,Dead
O_lurida,15,No Tide,265,1,Dead
O_lurida,15,No Tide,266,1,Dead
O_lurida,15,No Tide,267,1,Dead
O_lurida,15,No Tide,268,1,Dead
O_lurida,15,No Tide,269,1,Dead
O_lurida,15,No Tide,270,1,Dead
O_lurida,15,No Tide,271,1,Dead
O_lurida,15,No Tide,272,1,Dead
O_lurida,15,No Tide,273,1,Dead
O_lurida,15,No Tide,274,1,Dead
O_lurida,15,No Tide,275,1,Dead
O_lurida,15,No Tide,276,1,Dead
O_lurida,15,No Tide,277,1,Dead
O_lurida,15,No Tide,278,1,Dead
O_lurida,15,No Tide,279,1,Dead
O_lurida,15,No Tide,280,1,Dead
O_lurida,15,No Tide,281,1,Dead
O_lurida,15,No Tide,282,1,Dead
O_lurida,15,No Tide,283,1,Dead
O_lurida,15,No Tide,284,1,Dead
O_lurida,15,No Tide,285,1,Dead
O_lurida,15,No Tide,286,1,Dead
O_lurida,15,No Tide,287,1,Dead
O_lurida,15,No Tide,288,1,Dead
O_lurida,15,No Tide,289,1,Dead
O_lurida,15,No Tide,290,1,Dead
O_lurida,15,No Tide,291,1,Dead
O_lurida,15,No Tide,292,1,Dead
O_lurida,15,No Tide,293,1,Dead
O_lurida,15,No Tide,294,1,Dead
O_lurida,15,No Tide,295,1,Dead
O_lurida,15,No Tide,296,1,Dead
O_lurida,15,No Tide,297,1,Dead
O_lurida,15,No Tide,298,1,Dead
O_lurida,15,No Tide,299,1,Dead
O_lurida,15,No Tide,300,1,Dead
O_lurida,15,No Tide,301,1,Dead
O_lurida,15,No Tide,302,1,Dead
O_lurida,15,No Tide,303,1,Dead
O_lurida,15,No Tide,304,1,Dead
O_lurida,15,No Tide,305,1,Dead
O_lurida,15,No Tide,306,1,Dead
O_lurida,15,No Tide,307,1,Dead
O_lurida,15,No Tide,308,1,Dead
O_lurida,15,No Tide,309,1,Dead
O_lurida,15,No Tide,310,1,Dead
O_lurida,15,No Tide,311,1,Dead
O_lurida,15,No Tide,312,1,Dead
O_lurida,15,No Tide,313,1,Dead
O_lurida,15,No Tide,314,1,Dead
O_lurida,15,No Tide,315,1,Dead
O_lurida,15,No Tide,316,1,Dead
O_lurida,15,No Tide,317,1,Dead
O_lurida,15,No Tide,318,1,Dead
O_lurida,15,No Tide,319,1,Dead
O_lurida,15,No Tide,320,1,Dead
O_lurida,15,No Tide,321,1,Dead
O_lurida,15,No Tide,322,1,Dead
O_lurida,15,No Tide,323,1,Dead
O_lurida,15,No Tide,324,1,Dead
O_lurida,15,No Tide,325,1,Dead
O_lurida,15,No Tide,326,1,Dead
O_lurida,15,No Tide,327,1,Dead
O_lurida,15,No Tide,328,1,Dead
O_lurida,15,No Tide,329,1,Dead
O_lurida,15,No Tide,330,1,Dead
O_lurida,15,No Tide,331,1,Dead
O_lurida,15,No Tide,332,1,Dead
O_lurida,15,No Tide,333,1,Dead
O_lurida,15,No Tide,334,1,Dead
O_lurida,15,No Tide,335,1,Dead
O_lurida,15,No Tide,336,1,Dead
O_lurida,15,No Tide,337,1,Dead
O_lurida,15,No Tide,338,1,Dead
O_lurida,15,No Tide,339,1,Dead
O_lurida,15,No Tide,340,1,Dead
O_lurida,15,No Tide,341,0,Alive
O_lurida,15,No Tide,342,0,Alive
O_lurida,15,No Tide,343,0,Alive
O_lurida,15,No Tide,344,0,Alive
O_lurida,15,No Tide,345,0,Alive
O_lurida,15,No Tide,346,0,Alive
O_lurida,15,No Tide,347,0,Alive
O_lurida,15,No Tide,348,0,Alive
O_lurida,15,No Tide,349,0,Alive
O_lurida,15,No Tide,350,0,Alive
O_lurida,15,No Tide,351,0,Alive
O_lurida,15,No Tide,352,0,Alive
O_lurida,15,No Tide,353,0,Alive
O_lurida,15,No Tide,354,0,Alive
O_lurida,15,No Tide,355,0,Alive
O_lurida,15,No Tide,356,0,Alive
O_lurida,15,No Tide,357,0,Alive
O_lurida,15,No Tide,358,0,Alive
O_lurida,15,No Tide,359,0,Alive
O_lurida,15,No Tide,360,0,Alive
O_lurida,15,No Tide,361,0,Alive
O_lurida,15,No Tide,362,0,Alive
O_lurida,15,No Tide,363,0,Alive
O_lurida,15,No Tide,364,0,Alive
O_lurida,15,No Tide,365,0,Alive
O_lurida,15,No Tide,366,0,Alive
O_lurida,15,No Tide,367,0,Alive
O_lurida,15,No Tide,368,0,Alive
O_lurida,15,No Tide,369,0,Alive
O_lurida,15,No Tide,370,0,Alive
O_lurida,15,No Tide,371,0,Alive
O_lurida,15,No Tide,372,0,Alive
O_lurida,15,No Tide,373,0,Alive
O_lurida,15,No Tide,374,0,Alive
O_lurida,15,No Tide,375,0,Alive
O_lurida,15,No Tide,376,0,Alive
O_lurida,15,No Tide,377,0,Alive
O_lurida,15,No Tide,378,0,Alive
O_lurida,15,No Tide,379,0,Alive
O_lurida,15,No Tide,380,0,Alive
O_lurida,15,No Tide,381,0,Alive
O_lurida,15,No Tide,382,0,Alive
O_lurida,15,No Tide,383,0,Alive
O_lurida,15,No Tide,384,0,Alive
O_lurida,15,No Tide,385,0,Alive
O_lurida,15,No Tide,386,0,Alive
O_lurida,15,No Tide,387,0,Alive
O_lurida,15,No Tide,388,0,Alive
O_lurida,15,No Tide,389,0,Alive
O_lurida,15,No Tide,390,0,Alive
O_lurida,15,No Tide,391,0,Alive
O_lurida,15,No Tide,392,0,Alive
O_lurida,15,No Tide,393,0,Alive
O_lurida,15,No Tide,394,0,Alive
O_lurida,15,No Tide,395,0,Alive
O_lurida,15,No Tide,396,0,Alive
O_lurida,15,No Tide,397,0,Alive
O_lurida,15,No Tide,398,0,Alive
O_lurida,15,No Tide,399,0,Alive
O_lurida,15,No Tide,400,0,Alive
O_lurida,15,Tide,1,1,Dead
O_lurida,15,Tide,2,1,Dead
O_lurida,15,Tide,3,1,Dead
O_lurida,15,Tide,4,1,Dead
O_lurida,15,Tide,5,1,Dead
O_lurida,15,Tide,6,1,Dead
O_lurida,15,Tide,7,1,Dead
O_lurida,15,Tide,8,1,Dead
O_lurida,15,Tide,9,1,Dead
O_lurida,15,Tide,10,1,Dead
O_lurida,15,Tide,11,1,Dead
O_lurida,15,Tide,12,1,Dead
O_lurida,15,Tide,13,1,Dead
O_lurida,15,Tide,14,1,Dead
O_lurida,15,Tide,15,1,Dead
O_lurida,15,Tide,16,1,Dead
O_lurida,15,Tide,17,1,Dead
O_lurida,15,Tide,18,1,Dead
O_lurida,15,Tide,19,1,Dead
O_lurida,15,Tide,20,1,Dead
O_lurida,15,Tide,21,1,Dead
O_lurida,15,Tide,22,1,Dead
O_lurida,15,Tide,23,1,Dead
O_lurida,15,Tide,24,1,Dead
O_lurida,15,Tide,25,1,Dead
O_lurida,15,Tide,26,1,Dead
O_lurida,15,Tide,27,1,Dead
O_lurida,15,Tide,28,1,Dead
O_lurida,15,Tide,29,1,Dead
O_lurida,15,Tide,30,1,Dead
O_lurida,15,Tide,31,1,Dead
O_lurida,15,Tide,32,1,Dead
O_lurida,15,Tide,33,1,Dead
O_lurida,15,Tide,34,1,Dead
O_lurida,15,Tide,35,1,Dead
O_lurida,15,Tide,36,1,Dead
O_lurida,15,Tide,37,1,Dead
O_lurida,15,Tide,38,1,Dead
O_lurida,15,Tide,39,1,Dead
O_lurida,15,Tide,40,1,Dead
O_lurida,15,Tide,41,1,Dead
O_lurida,15,Tide,42,1,Dead
O_lurida,15,Tide,43,1,Dead
O_lurida,15,Tide,44,1,Dead
O_lurida,15,Tide,45,1,Dead
O_lurida,15,Tide,46,1,Dead
O_lurida,15,Tide,47,1,Dead
O_lurida,15,Tide,48,1,Dead
O_lurida,15,Tide,49,1,Dead
O_lurida,15,Tide,50,1,Dead
O_lurida,15,Tide,51,1,Dead
O_lurida,15,Tide,52,1,Dead
O_lurida,15,Tide,53,1,Dead
O_lurida,15,Tide,54,1,Dead
O_lurida,15,Tide,55,1,Dead
O_lurida,15,Tide,56,1,Dead
O_lurida,15,Tide,57,1,Dead
O_lurida,15,Tide,58,1,Dead
O_lurida,15,Tide,59,1,Dead
O_lurida,15,Tide,60,1,Dead
O_lurida,15,Tide,61,1,Dead
O_lurida,15,Tide,62,1,Dead
O_lurida,15,Tide,63,1,Dead
O_lurida,15,Tide,64,1,Dead
O_lurida,15,Tide,65,1,Dead
O_lurida,15,Tide,66,1,Dead
O_lurida,15,Tide,67,1,Dead
O_lurida,15,Tide,68,1,Dead
O_lurida,15,Tide,69,1,Dead
O_lurida,15,Tide,70,1,Dead
O_lurida,15,Tide,71,1,Dead
O_lurida,15,Tide,72,1,Dead
O_lurida,15,Tide,73,1,Dead
O_lurida,15,Tide,74,1,Dead
O_lurida,15,Tide,75,1,Dead
O_lurida,15,Tide,76,1,Dead
O_lurida,15,Tide,77,1,Dead
O_lurida,15,Tide,78,1,Dead
O_lurida,15,Tide,79,1,Dead
O_lurida,15,Tide,80,1,Dead
O_lurida,15,Tide,81,1,Dead
O_lurida,15,Tide,82,1,Dead
O_lurida,15,Tide,83,1,Dead
O_lurida,15,Tide,84,1,Dead
O_lurida,15,Tide,85,1,Dead
O_lurida,15,Tide,86,1,Dead
O_lurida,15,Tide,87,1,Dead
O_lurida,15,Tide,88,1,Dead
O_lurida,15,Tide,89,1,Dead
O_lurida,15,Tide,90,1,Dead
O_lurida,15,Tide,91,1,Dead
O_lurida,15,Tide,92,1,Dead
O_lurida,15,Tide,93,1,Dead
O_lurida,15,Tide,94,1,Dead
O_lurida,15,Tide,95,1,Dead
O_lurida,15,Tide,96,1,Dead
O_lurida,15,Tide,97,1,Dead
O_lurida,15,Tide,98,1,Dead
O_lurida,15,Tide,99,1,Dead
O_lurida,15,Tide,100,1,Dead
O_lurida,15,Tide,101,1,Dead
O_lurida,15,Tide,102,1,Dead
O_lurida,15,Tide,103,1,Dead
O_lurida,15,Tide,104,1,Dead
O_lurida,15,Tide,105,1,Dead
O_lurida,15,Tide,106,1,Dead
O_lurida,15,Tide,107,1,Dead
O_lurida,15,Tide,108,1,Dead
O_lurida,15,Tide,109,1,Dead
O_lurida,15,Tide,110,1,Dead
O_lurida,15,Tide,111,1,Dead
O_lurida,15,Tide,112,1,Dead
O_lurida,15,Tide,113,1,Dead
O_lurida,15,Tide,114,1,Dead
O_lurida,15,Tide,115,1,Dead
O_lurida,15,Tide,116,1,Dead
O_lurida,15,Tide,117,1,Dead
O_lurida,15,Tide,118,1,Dead
O_lurida,15,Tide,119,1,Dead
O_lurida,15,Tide,120,1,Dead
O_lurida,15,Tide,121,1,Dead
O_lurida,15,Tide,122,1,Dead
O_lurida,15,Tide,123,1,Dead
O_lurida,15,Tide,124,1,Dead
O_lurida,15,Tide,125,1,Dead
O_lurida,15,Tide,126,1,Dead
O_lurida,15,Tide,127,1,Dead
O_lurida,15,Tide,128,1,Dead
O_lurida,15,Tide,129,1,Dead
O_lurida,15,Tide,130,1,Dead
O_lurida,15,Tide,131,1,Dead
O_lurida,15,Tide,132,1,Dead
O_lurida,15,Tide,133,1,Dead
O_lurida,15,Tide,134,1,Dead
O_lurida,15,Tide,135,1,Dead
O_lurida,15,Tide,136,1,Dead
O_lurida,15,Tide,137,1,Dead
O_lurida,15,Tide,138,1,Dead
O_lurida,15,Tide,139,1,Dead
O_lurida,15,Tide,140,1,Dead
O_lurida,15,Tide,141,1,Dead
O_lurida,15,Tide,142,1,Dead
O_lurida,15,Tide,143,1,Dead
O_lurida,15,Tide,144,1,Dead
O_lurida,15,Tide,145,1,Dead
O_lurida,15,Tide,146,1,Dead
O_lurida,15,Tide,147,1,Dead
O_lurida,15,Tide,148,1,Dead
O_lurida,15,Tide,149,1,Dead
O_lurida,15,Tide,150,1,Dead
O_lurida,15,Tide,151,1,Dead
