SH_Tide,SH_Temp,MHW,Mean_Shell.g,SD_Shell.g,SE_Shell.g,Mean_Tissue_mg,SD_Tissue.g,SE_Tissue.g,Mean_CI,SD_CI,SE_CI
No Tide,15˚C,15˚C,2.2529895833333335,0.6157700338357133,0.08887874869848851,0.10407083333333333,0.043656955568426276,0.006301338762357611,4.592723709333334,1.5821019348245993,0.22835674448910254
No Tide,15˚C,18˚C,2.3393155555555554,0.5974626370804041,0.08906447136853801,0.09872,0.03774278136881999,0.005626361653372937,4.1624726981333335,1.151994920910021,0.17172926352595339
No Tide,15˚C,21˚C,2.256023913043478,0.5419035827257599,0.07989932428443317,0.10359130434782608,0.04066856731125106,0.005996253118387962,4.604894747456521,1.654172510441667,0.24389443075717637
No Tide,15˚C,24˚C,2.2317934782608697,0.5322181471715747,0.0784712847201119,0.08845,0.03541475367382608,0.005221620558412747,3.951507576717391,1.2601789806020305,0.18580325400524755
No Tide,21˚C,15˚C,2.3159339130434784,0.5299072316441741,0.07813055881424323,0.0926658695652174,0.03285592390869141,0.004844341692373915,3.9619356662391305,1.070733918955066,0.15787110353213402
No Tide,21˚C,18˚C,2.413185416666667,0.5220017102725644,0.07534445698582752,0.09735625,0.041535736503821544,0.005995167162867684,4.045764983,1.5605572261857075,0.2252470336560335
No Tide,21˚C,21˚C,2.1677782608695653,0.4285122997913406,0.06318069171766898,0.08415,0.03650443960823274,0.005382285984176142,3.934853268456522,1.6549475891618726,0.24400870987985754
No Tide,21˚C,24˚C,2.4003840909090908,0.5395934856361915,0.08134677868978514,0.08881363636363636,0.03251679058871393,0.004902090625878353,3.6350898218863636,0.837269440740135,0.12622311742571515
Tide,15˚C,15˚C,2.353612857142857,0.4835918961943101,0.07461984959730225,0.10845952380952381,0.036003164220857774,0.005555408848513683,4.603000342238095,1.206731303408546,0.1862026826200602
Tide,15˚C,18˚C,2.2300857142857144,0.5599919784144249,0.08640863822124523,0.09363809523809524,0.03325305012513671,0.0051310570307659545,4.178223713761905,1.011243394288322,0.15603824336572467
Tide,15˚C,21˚C,2.513167272727273,0.5565575507648056,0.08390420773300174,0.10598727272727272,0.04459037607938101,0.006722252123461159,4.196025720568182,1.3718650487508566,0.206816437714055
Tide,15˚C,24˚C,2.286830769230769,0.4563149490347107,0.07306887034259064,0.08672307692307692,0.03359860947575738,0.005380083305771136,3.7365717776666667,1.176500509028706,0.18839085446151194
Tide,21˚C,15˚C,2.2846511627906976,0.541252344709358,0.08254020875734722,0.10347209302325582,0.040030032330390306,0.006104522700752465,4.5054760265581395,1.3762873803346596,0.20988185786784133
Tide,21˚C,18˚C,2.1466093023255812,0.5036102384705446,0.07679984137162016,0.08363255813953488,0.03401178871908296,0.0051867491541147635,3.944432494511628,1.3917353830395511,0.21223765619483148
Tide,21˚C,21˚C,2.3532658536585367,0.5038882413838192,0.07869412222834503,0.09463658536585366,0.032790568431315434,0.005121026426384299,4.088029300707317,1.4452132662870103,0.22570439252736219
Tide,21˚C,24˚C,2.392529545454545,0.5100527704479695,0.07689334831169035,0.09580454545454545,0.03725644601348907,0.005616620565857975,3.9352172495,1.1055280755923973,0.16666462827016562
