SH_Tide,SH_Temp,MHW,Mean_L,SD_L,SE_L,Mean_W,SD_W,SE_W
No Tide,15,15,2.63696,0.2806432087406444,0.03968894319889228,1.8726,0.16592154526665145,0.023464849960599988
No Tide,15,18,2.68674,0.31939865755663344,0.04516979133203508,1.84014,0.1854199876947863,0.026222346133301915
No Tide,15,21,2.84796,0.31362462679230446,0.04435322007038773,1.82008,0.16330075421298768,0.02309421413537625
No Tide,15,24,2.7527,0.2759078706039835,0.03901926525736344,1.85094,0.15780010734328104,0.022316305194879826
No Tide,21,15,2.7492916666666667,0.2976535869117294,0.04296259463218616,1.8790833333333332,0.1926261767559934,0.027803193750760305
No Tide,21,18,2.7849795918367346,0.21757809802803357,0.031082585432576224,1.8109795918367346,0.13663111678834336,0.019518730969763337
No Tide,21,21,2.794791666666667,0.2590219705076651,0.03738660109965694,1.8356666666666666,0.19576520166872652,0.02825627297035016
No Tide,21,24,2.822265306122449,0.29143143672727756,0.04163306238961108,1.7776938775510205,0.18002340172896417,0.025717628818423453
Tide,15,15,2.636375,0.3436315830851655,0.049598946749069395,1.8587708333333333,0.19013111260987642,0.027443062261658803
Tide,15,18,2.521108695652174,0.2823885603805799,0.04163592173827799,1.8126086956521739,0.1602613807032984,0.023629251466979
Tide,15,21,2.705695652173913,0.2635125862113372,0.03885281118243553,1.8405652173913043,0.1514482166248272,0.022329821315335133
Tide,15,24,2.6198723404255317,0.2572832660724849,0.03752862141821356,1.835404255319149,0.14306651836523732,0.020868396484978718
Tide,21,15,2.6611363636363636,0.2710146817364364,0.04085700054533381,1.8277272727272726,0.21801294645111327,0.03286668830991757
Tide,21,18,2.5493061224489795,0.27285315068134125,0.03897902152590589,1.8000204081632654,0.18486960379727993,0.02640994339961142
Tide,21,21,2.7919761904761904,0.28876258186886433,0.04455703372606859,1.849952380952381,0.16147626154631303,0.024916328095951023
Tide,21,24,2.615104166666667,0.2651903563266441,0.03827693090292019,1.8114791666666668,0.20250841743296913,0.02922957232952246
