SH_Tide,SH_Temp,MHW,Mean_Shell.g,SD_Shell.g,SE_Shell.g,Mean_Tissue_mg,SD_Tissue.g,SE_Tissue.g,Mean_CI,SD_CI,SE_CI
No Tide,15˚C,15˚C,1.119004081632653,0.24564771520002623,0.03509253074286089,0.04423877551020408,0.012312118290640368,0.0017588740415200525,3.9675310556326533,0.8126983201311833,0.11609976001874046
No Tide,15˚C,18˚C,1.152984,0.21698030068104424,0.03234551347341059,0.04222044444444444,0.011232185482223428,0.0016743953516091894,3.7023059490666665,0.8233519354377049,0.12273805980298175
No Tide,15˚C,21˚C,1.130018,0.3159104521079042,0.04467648458664142,0.041408,0.009945706488280278,0.0014065353003108055,3.76950427252,0.8429264387581743,0.11920780017746642
No Tide,15˚C,24˚C,1.1534916666666666,0.212960626501042,0.030738218759291988,0.03919583333333333,0.007923596817407022,0.0011436726888700017,3.4437214465625,0.6142919514860888,0.08866540588787848
No Tide,21˚C,15˚C,1.136692,0.21362162701030674,0.030210660213418245,0.041924,0.011628037193765414,0.0016444527903201832,3.7150883617,0.8953048814101422,0.12661523057490587
No Tide,21˚C,18˚C,1.1321340425531914,0.22932999697284123,0.03345121805865567,0.03820212765957447,0.010755049155218903,0.0015687851535854432,3.394582381468085,0.8275541224767669,0.1207111750391212
No Tide,21˚C,21˚C,1.0778795918367348,0.22076477676061293,0.03153782525151613,0.03806122448979592,0.009861453077651442,0.001408779011093063,3.5304656453265304,0.622254503668136,0.08889350052401943
No Tide,21˚C,24˚C,1.1676083333333334,0.24451913368403025,0.03529329691362224,0.035152083333333334,0.009383620622814405,0.001354408973138805,3.05768984075,0.7523561187236737,0.10859325191789376
Tide,15˚C,15˚C,1.094236,0.2018270392677647,0.028542653618608006,0.047968,0.013840924824591743,0.0019574023602724096,4.4087191191,1.0544245722962062,0.1491181530640745
Tide,15˚C,18˚C,1.1335469387755102,0.2005473542396334,0.028649622034233345,0.044410204081632654,0.011319475195762523,0.001617067885108932,3.9489141818163267,0.8715917461797389,0.12451310659710556
Tide,15˚C,21˚C,1.1713125,0.16839067496418444,0.024305100379898668,0.045575,0.009766410085463686,0.0014096598729646838,3.912234146479167,0.7615367414307137,0.10991836066570325
Tide,15˚C,24˚C,1.1307551020408164,0.21645357957040934,0.030921939938629905,0.040461224489795916,0.009501026618356624,0.001357289516908089,3.609087421367347,0.7127005919398005,0.10181437027711436
Tide,21˚C,15˚C,1.1487520833333333,0.2377432138679214,0.0343152771311628,0.049758333333333335,0.027218015258463082,0.003928582109070251,4.545783591520833,3.6028215392882643,0.5200224963875654
Tide,21˚C,18˚C,1.1021208333333334,0.17244118202698927,0.02488974071566488,0.0407375,0.01891348303262865,0.002729926130050393,3.6946953710416666,1.6042717469039856,0.2315566812320818
Tide,21˚C,21˚C,1.142474,0.24183836802496742,0.034201109996308474,0.041758,0.01072818317730054,0.0015171942148961305,3.68338336262,0.7403021083268121,0.10469452818491738
Tide,21˚C,24˚C,1.0710063829787235,0.22750835188133903,0.03318550381287152,0.042106382978723406,0.01995843947301404,0.002911237604042436,3.9219364319148937,1.6704952375476279,0.24366677362215808
