SH_Tide,SH_Temp,MHW,Mean_L,SD_L,SE_L,Mean_W,SD_W,SE_W
No Tide,15,15,2.87396,0.38671489049506774,0.05468974429097511,1.8137,0.18409161982500974,0.02603448654757605
No Tide,15,18,2.8162391304347825,0.3657650238295138,0.05392911060646608,1.965,0.1949413587039275,0.028742535262800555
No Tide,15,21,2.79798,0.37690844933972156,0.053302904082924686,1.83586,0.18620912207208631,0.02633394658719317
No Tide,15,24,2.7814489795918367,0.43164781464100305,0.06166397352014329,1.8458571428571429,0.25850386844300804,0.03692912406328686
No Tide,21,15,2.83542,0.37951354954166566,0.053671320886617704,1.91372,0.22455025708999682,0.03175620190110387
No Tide,21,18,2.9676666666666667,0.3885239571097604,0.0560786028059847,1.8672083333333334,0.20637839223170104,0.029788155077473694
No Tide,21,21,2.8745,0.37271930949907783,0.0527104702451931,1.84728,0.2261741283315371,0.03198585197443726
No Tide,21,24,2.9788571428571426,0.4268566308883269,0.060979518698332416,1.9053061224489796,0.2366524529841205,0.03380749328344578
Tide,15,15,2.61994,0.3660441263686382,0.05176645679375392,1.76288,0.14032013543381172,0.019844263860452602
Tide,15,18,2.62252,0.3074342962823313,0.043477775134110136,1.80152,0.1687263501190309,0.023861509266804477
Tide,15,21,2.6054489795918365,0.36706079544269005,0.05243725649181286,1.8098571428571428,0.14707608575155923,0.02101086939307989
Tide,15,24,2.6125714285714285,0.3548534321848012,0.0506933474549716,1.8802857142857143,0.24149214963085924,0.034498878518694175
Tide,21,15,2.66022,0.3358642394583543,0.04749837625581295,1.8399,0.21278361625590153,0.03009214759598881
Tide,21,18,2.656408163265306,0.3821873950459026,0.0545981992922718,1.8286326530612245,0.15977910453153119,0.02282558636164731
Tide,21,21,2.72662,0.3107763084238421,0.04395040702372414,1.7918,0.1740470262513519,0.024613966501536796
Tide,21,24,2.7515106382978725,0.39394216483158084,0.057462370523820715,1.850063829787234,0.2305537195022414,0.03362971633500241
