Species,Bag_Color,Tank,MHW,SH_Tide,SH_Temp,Rep,Well_Plate,Slot,Weigh_Boat_g,B_S_T_g,B_S_g,Shell_g,Tissue_g,Shell.mg,Tissue.mg,CI
Ostrea lurida,Yellow,2,15,No Tide,21,10,1,G8,0.0182,0.29,0.0287,0.0035,0.2613,3.5,261.3,7465.714
Ostrea lurida,Yellow,6,18,Tide,21,2,3,B8,0.0175,0.0341,0.0236,0.0061,0.0105,6.1,10.5,172.131
Ostrea lurida,Yellow,8,18,Tide,15,5,3,H9,0.0115,0.0325,0.0214,0.0099,0.0111,9.9,11.1,112.121
Ostrea lurida,Yellow,8,18,Tide,15,9,4,A1,0.0136,0.022,0.0168,0.0032,0.0052,3.2,5.2,162.5
Ostrea lurida,Yellow,8,18,Tide,15,10,4,A2,0.0169,0.0399,0.025,0.0081,0.0149,8.1,14.9,183.951
Ostrea lurida,Yellow,8,18,Tide,21,1,4,A3,0.0179,0.0306,0.0271,0.0092,0.0035,9.2,3.5,38.043
Ostrea lurida,Yellow,8,18,No Tide,21,3,4,C1,0.0131,0.0323,0.0275,0.0144,0.0048,14.4,4.8,33.333
Ostrea lurida,Yellow,8,18,No Tide,21,4,4,C2,0.0128,0.019,0.0172,0.0044,0.0018,4.4,1.8,40.909
Ostrea lurida,Yellow,8,18,No Tide,21,10,4,C8,0.0224,0.0327,0.0268,0.0044,0.0059,4.4,5.9,134.091
Ostrea lurida,Yellow,9,18,Tide,15,2,4,C10,0.0137,0.0237,0.0189,0.0052,0.0048,5.2,4.8,92.308
Ostrea lurida,Yellow,9,18,Tide,15,3,4,C11,0.0158,0.0232,0.0177,0.0019,0.0055,1.9,5.5,289.474
Ostrea lurida,Yellow,9,18,Tide,21,8,4,E2,0.0168,0.0247,0.0211,0.0043,0.0036,4.3,3.6,83.721
Ostrea lurida,Yellow,9,18,Tide,21,9,4,E3,0.0133,0.0212,0.0135,2e-4,0.0077,0.2,7.7,3850
Ostrea lurida,Yellow,9,18,Tide,21,10,4,E4,0.0221,0.0266,0.0243,0.0022,0.0023,2.2,2.3,104.545
Ostrea lurida,Yellow,10,18,Tide,15,1,4,G1,0.0226,0.0489,0.0423,0.0197,0.0066,19.7,6.6,33.503
Ostrea lurida,Yellow,11,24,Tide,15,10,5,C2,0.0136,0.0296,0.2871,0.2735,-0.2575,273.5,-257.5,-94.15
Ostrea lurida,Yellow,11,24,Tide,21,10,5,C12,0.0173,0.0246,0.0229,0.0056,0.0017,5.6,1.7,30.357
Ostrea lurida,Yellow,12,24,Tide,21,9,5,G3,0.0172,0.0287,0.024,0.0068,0.0047,6.8,4.7,69.118
Ostrea lurida,Yellow,12,24,Tide,21,10,5,G4,0.0157,0.0415,0.028,0.0123,0.0135,12.3,13.5,109.756
Ostrea lurida,Yellow,12,24,No Tide,21,1,5,H3,0.0166,0.0407,0.0266,0.01,0.0141,10,14.1,141
Ostrea lurida,Yellow,12,24,No Tide,21,2,5,H4,0.0108,0.0283,0.0386,0.0278,-0.0103,27.8,-10.3,-37.05
Ostrea lurida,Yellow,15,24,No Tide,21,2,5,B4,0.0351,0.0297,0.0289,-0.0062,8e-4,-6.2,0.8,-12.903
Ostrea lurida,Yellow,18,21,No Tide,21,10,6,D12,0.021,0.021,0.0209,1e-4,1e-4,0.1,0.1,100
Ostrea lurida,Yellow,20,21,Tide,15,6,6,H10,0.0197,0.0246,0.0336,0.0139,-0.009,13.9,-9,-64.748
